   2022      5     20   12.00      7752.00   0.18246E+02   0.00000E+00   0.18246E+02   0.18657E+02   0.19127E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36542E+02   0.15620E+03  -0.30445E+03  -0.83048E+03   0.54557E-02   0.52944E-05   0.59856E-02       0.17     295.54     0.0000  0.00   0.11565E+00   0.30314E+00    18.6561    18.7103    18.7300    18.7831    18.9477
   2022      5     21   12.00      7776.00   0.17392E+02   0.00000E+00   0.17392E+02   0.18157E+02   0.18717E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33644E+02   0.20707E+03  -0.34090E+03  -0.88115E+03   0.82983E-02   0.83017E-05   0.29046E-01       0.17     276.70     0.0000  0.00   0.23686E+00  -0.48987E+01    18.1632    18.2649    18.2929    18.3487    18.5297
   2022      5     22   12.00      7800.00   0.17785E+02   0.00000E+00   0.17785E+02   0.18297E+02   0.18796E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25177E+02   0.17590E+03  -0.29532E+03  -0.87431E+03   0.67590E-02   0.69366E-05   0.14187E-01       0.17     295.07     0.0000  0.00   0.16252E+00  -0.31893E+01    18.2956    18.3656    18.3880    18.4406    18.6116
   2022      5     23   12.00      7824.00   0.19060E+02   0.00000E+00   0.19060E+02   0.19474E+02   0.19913E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39063E+02   0.16619E+03  -0.29938E+03  -0.76632E+03   0.60136E-02   0.53501E-05   0.71932E-02       0.17     288.64     0.0000  0.00   0.14386E+00   0.10370E+01    19.4720    19.5309    19.5500    19.5976    19.7420
   2022      5     24   12.00      7848.00   0.18750E+02   0.00000E+00   0.18750E+02   0.19242E+02   0.19699E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.55495E+02   0.15128E+03  -0.30229E+03  -0.78852E+03   0.56722E-02   0.60084E-05   0.70576E-02       0.17     272.94     0.0000  0.00   0.11357E+00   0.25718E+01    19.2415    19.3035    19.3240    19.3741    19.5298
   2022      5     25   12.00      7872.00   0.19164E+02   0.00000E+00   0.19164E+02   0.19567E+02   0.20010E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.61843E+02   0.14329E+03  -0.31697E+03  -0.77429E+03   0.49027E-02   0.54845E-05   0.33726E-02       0.17     302.39     0.0000  0.00   0.81173E-01   0.19388E+01    19.5656    19.6170    19.6362    19.6867    19.8301
   2022      5     26   12.00      7896.00   0.20036E+02   0.00000E+00   0.20036E+02   0.20311E+02   0.20699E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.47498E+02   0.11487E+03  -0.28473E+03  -0.71639E+03   0.33458E-02   0.40413E-05   0.10489E-02       0.17     326.94     0.0000  0.00   0.17724E-01   0.10782E+01    20.3098    20.3418    20.3560    20.4014    20.5362
   2022      5     27   12.00      7920.00   0.19509E+02   0.00000E+00   0.19509E+02   0.20115E+02   0.20558E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.88953E+02   0.18427E+03  -0.38941E+03  -0.74205E+03   0.61246E-02   0.72542E-05   0.87857E-02       0.16     300.45     0.0000  0.00  -0.14449E+00   0.19866E+01    20.1206    20.1866    20.2081    20.2567    20.3948
   2022      5     28   12.00      7944.00   0.16921E+02   0.00000E+00   0.16921E+02   0.17679E+02   0.18250E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10090E+03   0.17776E+03  -0.37239E+03  -0.93230E+03   0.78554E-02   0.86275E-05   0.21106E-01       0.16     224.02     0.0000  0.00  -0.22963E+00   0.32387E+01    17.6861    17.7826    17.8109    17.8703    18.0490
   2022      5     29   12.00      7968.00   0.17354E+02   0.00000E+00   0.17354E+02   0.17564E+02   0.18045E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.49763E+02   0.96117E+02  -0.24048E+03  -0.92698E+03   0.30498E-02   0.31501E-05   0.21148E-02       0.16     247.54     0.0000  0.00  -0.24063E-01   0.59659E+00    17.5594    17.5960    17.6132    17.6685    17.8492
   2022      5     30   12.00      7992.00   0.19798E+02   0.00000E+00   0.19798E+02   0.19943E+02   0.20319E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.41609E+02   0.96749E+02  -0.23824E+03  -0.71748E+03   0.27706E-02   0.32311E-05   0.41525E-03       0.16     285.27     0.0000  0.00   0.31320E-01  -0.45338E-01    19.9400    19.9617    19.9741    20.0190    20.1686
   2022      5     31   12.00      8016.00   0.21184E+02   0.00000E+00   0.21184E+02   0.21333E+02   0.21637E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38703E+02   0.10074E+03  -0.23229E+03  -0.58227E+03   0.28837E-02   0.33825E-05   0.36858E-03       0.16     246.70     0.0000  0.00   0.32713E-01   0.23363E+00    21.3310    21.3517    21.3625    21.3989    21.5123
   2022      6      1   12.00      8040.00   0.20872E+02   0.00000E+00   0.20872E+02   0.21182E+02   0.21539E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.49187E+02   0.14481E+03  -0.29502E+03  -0.63041E+03   0.45875E-02   0.45427E-05   0.18948E-02       0.16     286.56     0.0000  0.00   0.86370E-01  -0.18157E+00    21.1819    21.2203    21.2351    21.2772    21.3946
   2022      6      2   12.00      8064.00   0.21938E+02   0.00000E+00   0.21938E+02   0.22097E+02   0.22397E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32933E+02   0.12097E+03  -0.27079E+03  -0.56089E+03   0.26544E-02   0.31278E-05   0.67435E-03       0.16     326.62     0.0000  0.00  -0.89595E-02  -0.33478E+00    22.0937    22.1165    22.1282    22.1649    22.2845
   2022      6      3   12.00      8088.00   0.20951E+02   0.00000E+00   0.20951E+02   0.21598E+02   0.21991E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38152E+02   0.20773E+03  -0.35331E+03  -0.61910E+03   0.61507E-02   0.61385E-05   0.79760E-02       0.16     313.38     0.0000  0.00  -0.14341E+00  -0.21038E+01    21.6066    21.6689    21.6884    21.7317    21.8544
   2022      6      4   12.00      8112.00   0.21519E+02   0.00000E+00   0.21519E+02   0.21752E+02   0.22074E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28708E+02   0.13164E+03  -0.28004E+03  -0.59949E+03   0.31920E-02   0.41365E-05   0.15724E-02       0.16     325.23     0.0000  0.00  -0.17841E-01   0.22448E+00    21.7509    21.7795    21.7928    21.8307    21.9482
   2022      6      5   12.00      8136.00   0.21393E+02   0.00000E+00   0.21393E+02   0.21823E+02   0.22172E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.37960E+02   0.16342E+03  -0.31921E+03  -0.59273E+03   0.47433E-02   0.53608E-05   0.30335E-02       0.16     302.85     0.0000  0.00   0.80290E-01   0.13849E+01    21.8265    21.8728    21.8883    21.9280    22.0398
   2022      6      6   12.00      8160.00   0.21594E+02   0.00000E+00   0.21594E+02   0.21833E+02   0.22140E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.24021E+02   0.12672E+03  -0.25275E+03  -0.56671E+03   0.38295E-02   0.42495E-05   0.10844E-02       0.16     269.57     0.0000  0.00   0.53209E-01   0.70950E+00    21.8319    21.8625    21.8748    21.9110    22.0207
   2022      6      7   12.00      8184.00   0.22968E+02   0.00000E+00   0.22968E+02   0.23096E+02   0.23334E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17510E+02   0.97805E+02  -0.21322E+03  -0.45238E+03   0.20637E-02   0.25087E-05   0.34334E-03       0.16     290.02     0.0000  0.00   0.20572E-02  -0.97206E-01    23.0930    23.1106    23.1201    23.1492    23.2499
   2022      6      8   12.00      8208.00   0.23572E+02   0.00000E+00   0.23572E+02   0.23840E+02   0.24071E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.24630E+02   0.14620E+03  -0.27257E+03  -0.40641E+03   0.37290E-02   0.46596E-05   0.12618E-02       0.16     304.11     0.0000  0.00   0.28622E-01  -0.12840E+01    23.8406    23.8717    23.8828    23.9100    23.9886
   2022      6      9   12.00      8232.00   0.22439E+02   0.00000E+00   0.22439E+02   0.22838E+02   0.23151E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36881E+02   0.18176E+03  -0.32770E+03  -0.50547E+03   0.52772E-02   0.56839E-05   0.34991E-02       0.16     287.85     0.0000  0.00   0.11276E+00  -0.45809E+00    22.8416    22.8874    22.9025    22.9395    23.0410
   2022      6     10   12.00      8256.00   0.20658E+02   0.00000E+00   0.20658E+02   0.21332E+02   0.21739E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.48273E+02   0.19349E+03  -0.35880E+03  -0.64745E+03   0.63563E-02   0.67302E-05   0.10129E-01       0.16     290.81     0.0000  0.00   0.14608E+00  -0.24056E+01    21.3433    21.4099    21.4307    21.4744    21.6033
   2022      6     11   12.00      8280.00   0.20514E+02   0.00000E+00   0.20514E+02   0.20863E+02   0.21267E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45724E+02   0.13919E+03  -0.32120E+03  -0.69899E+03   0.33445E-02   0.40170E-05   0.32108E-02       0.16     330.77     0.0000  0.00   0.22075E-01  -0.86017E+00    20.8632    20.9015    20.9182    20.9660    21.1035
   2022      6     12   12.00      8304.00   0.19459E+02   0.00000E+00   0.19459E+02   0.20132E+02   0.20595E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.86992E+02   0.18408E+03  -0.40615E+03  -0.76562E+03   0.50846E-02   0.72683E-05   0.43137E-02       0.16     301.35     0.0000  0.00  -0.65951E-01   0.26734E+01    20.1385    20.2030    20.2246    20.2774    20.4165
   2022      6     13   12.00      8328.00   0.18015E+02   0.00000E+00   0.18015E+02   0.18540E+02   0.19037E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.75784E+02   0.13504E+03  -0.32545E+03  -0.86774E+03   0.39931E-02   0.59654E-05   0.21037E-02       0.16     235.86     0.0000  0.00  -0.46722E-02   0.21692E+01    18.5434    18.5954    18.6153    18.6727    18.8354
   2022      6     14   12.00      8352.00   0.18072E+02   0.00000E+00   0.18072E+02   0.18412E+02   0.18867E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.65198E+02   0.12012E+03  -0.28546E+03  -0.85593E+03   0.37665E-02   0.52262E-05   0.11789E-02       0.16     210.14     0.0000  0.00   0.39983E-01   0.13742E+01    18.4108    18.4525    18.4694    18.5215    18.6751
   2022      6     15   12.00      8376.00   0.18731E+02   0.00000E+00   0.18731E+02   0.18931E+02   0.19372E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.44041E+02   0.98748E+02  -0.24840E+03  -0.81789E+03   0.29747E-02   0.36433E-05   0.55035E-03       0.16     258.95     0.0000  0.00   0.33654E-01   0.66241E+00    18.9278    18.9552    18.9697    19.0225    19.1823
   2022      6     16   12.00      8400.00   0.20985E+02   0.00000E+00   0.20985E+02   0.21080E+02   0.21395E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.31830E+02   0.92323E+02  -0.22983E+03  -0.62334E+03   0.15777E-02   0.21850E-05   0.36298E-04       0.16     274.73     0.0000  0.00   0.47245E-02  -0.18883E+00    21.0757    21.0912    21.1023    21.1408    21.2683
   2022      6     17   12.00      8424.00   0.21643E+02   0.00000E+00   0.21643E+02   0.21741E+02   0.22008E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.31893E+02   0.89244E+02  -0.20477E+03  -0.52420E+03   0.17508E-02   0.25058E-05   0.47296E-04       0.16     175.56     0.0000  0.00   0.71244E-02  -0.20173E+00    21.7385    21.7537    21.7635    21.7954    21.8930
   2022      6     18   12.00      8448.00   0.21014E+02   0.00000E+00   0.21014E+02   0.21124E+02   0.21423E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.32982E+02   0.81312E+02  -0.18521E+03  -0.56448E+03   0.26676E-02   0.32015E-05   0.15651E-03       0.16     129.43     0.0000  0.00   0.30233E-01   0.13835E+00    21.1216    21.1394    21.1495    21.1848    21.2910
   2022      6     19   12.00      8472.00   0.21263E+02   0.00000E+00   0.21263E+02   0.21378E+02   0.21687E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.33091E+02   0.89077E+02  -0.20333E+03  -0.58427E+03   0.29739E-02   0.33341E-05   0.22822E-03       0.16     230.11     0.0000  0.00   0.37968E-01   0.25166E-01    21.3749    21.3932    21.4036    21.4414    21.5566
   2022      6     20   12.00      8496.00   0.22425E+02   0.00000E+00   0.22425E+02   0.22697E+02   0.22992E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.47648E+02   0.13771E+03  -0.29556E+03  -0.51834E+03   0.39757E-02   0.44920E-05   0.14833E-02       0.16     323.79     0.0000  0.00   0.64234E-01   0.72781E+00    22.6968    22.7294    22.7418    22.7771    22.8790
   2022      6     21   12.00      8520.00   0.21209E+02   0.00000E+00   0.21209E+02   0.21834E+02   0.22216E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.70622E+02   0.17716E+03  -0.35687E+03  -0.60168E+03   0.58033E-02   0.73440E-05   0.85876E-02       0.16     302.44     0.0000  0.00   0.86122E-01   0.37130E+01    21.8360    21.9056    21.9265    21.9671    22.0870
   2022      6     22   12.00      8544.00   0.19217E+02   0.00000E+00   0.19217E+02   0.19795E+02   0.20251E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.80038E+02   0.16772E+03  -0.32558E+03  -0.73620E+03   0.64320E-02   0.94451E-05   0.13429E-01       0.16     184.37     0.0000  0.00   0.72578E-01   0.54129E+01    19.7908    19.8724    19.8966    19.9457    20.0856
   2022      6     23   12.00      8568.00   0.17914E+02   0.00000E+00   0.17914E+02   0.18227E+02   0.18672E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.51096E+02   0.10053E+03  -0.21067E+03  -0.82604E+03   0.41451E-02   0.48801E-05   0.29018E-02       0.16     113.54     0.0000  0.00   0.45647E-01   0.20364E+01    18.2222    18.2684    18.2859    18.3356    18.5018
   2022      6     24   12.00      8592.00   0.18789E+02   0.00000E+00   0.18789E+02   0.19039E+02   0.19447E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45974E+02   0.10876E+03  -0.22858E+03  -0.78114E+03   0.43218E-02   0.47706E-05   0.24606E-02       0.16     198.32     0.0000  0.00   0.73139E-01   0.12096E+01    19.0343    19.0730    19.0884    19.1345    19.2881
   2022      6     25   12.00      8616.00   0.19081E+02   0.00000E+00   0.19081E+02   0.19580E+02   0.20013E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.51822E+02   0.14562E+03  -0.26586E+03  -0.74298E+03   0.66823E-02   0.69540E-05   0.12029E-01       0.16     221.66     0.0000  0.00   0.15728E+00   0.33593E+01    19.5793    19.6428    19.6637    19.7104    19.8633
   2022      6     26   12.00      8640.00   0.18484E+02   0.00000E+00   0.18484E+02   0.19019E+02   0.19457E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.62056E+02   0.14698E+03  -0.25686E+03  -0.76488E+03   0.96219E-02   0.26367E-04   0.65090E-01       0.16     148.50     0.0000  0.00   0.30454E+00   0.88903E+01    19.0155    19.0963    19.1231    19.1673    19.3078
   2022      6     27   12.00      8664.00   0.17815E+02   0.00000E+00   0.17815E+02   0.18272E+02   0.18714E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57813E+02   0.12334E+03  -0.22376E+03  -0.82843E+03   0.88843E-02   0.28978E-04   0.53377E-01       0.16     145.69     0.0000  0.00   0.23102E+00   0.89465E+01    18.2652    18.3394    18.3650    18.4101    18.5549
   2022      6     28   12.00      8688.00   0.18921E+02   0.00000E+00   0.18921E+02   0.19193E+02   0.19610E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.41133E+02   0.99199E+02  -0.19335E+03  -0.74313E+03   0.45330E-02   0.48007E-05   0.36634E-02       0.16     174.94     0.0000  0.00   0.38413E-01   0.26634E+01    19.1866    19.2305    19.2477    19.2959    19.4530
   2022      6     29   12.00      8712.00   0.20643E+02   0.00000E+00   0.20643E+02   0.20733E+02   0.21033E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.23456E+02   0.71361E+02  -0.15740E+03  -0.60675E+03   0.23067E-02   0.26385E-05   0.12608E-03       0.16     187.27     0.0000  0.00   0.17135E-01   0.38969E+00    20.7304    20.7449    20.7544    20.7893    20.9150
   2022      6     30   12.00      8736.00   0.21885E+02   0.00000E+00   0.21885E+02   0.22098E+02   0.22385E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.30185E+02   0.12508E+03  -0.23038E+03  -0.52809E+03   0.41884E-02   0.41289E-05   0.23088E-02       0.16     259.57     0.0000  0.00   0.74764E-01   0.80599E+00    22.0963    22.1262    22.1383    22.1719    22.2779
   2022      7      1   12.00      8760.00   0.21242E+02   0.00000E+00   0.21242E+02   0.21788E+02   0.22138E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.52157E+02   0.16016E+03  -0.27816E+03  -0.54467E+03   0.68919E-02   0.74267E-05   0.13621E-01       0.16     200.99     0.0000  0.00   0.16918E+00   0.34641E+01    21.7892    21.8559    21.8748    21.9099    22.0136
   2022      7      2   12.00      8784.00   0.19816E+02   0.00000E+00   0.19816E+02   0.20136E+02   0.20501E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45034E+02   0.10442E+03  -0.19611E+03  -0.65768E+03   0.54479E-02   0.55542E-05   0.63156E-02       0.16     130.25     0.0000  0.00   0.11297E+00   0.20006E+01    20.1328    20.1791    20.1955    20.2358    20.3711
   2022      7      3   12.00      8808.00   0.20997E+02   0.00000E+00   0.20997E+02   0.21102E+02   0.21385E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28905E+02   0.70448E+02  -0.15659E+03  -0.56821E+03   0.29152E-02   0.31588E-05   0.26224E-03       0.16     156.25     0.0000  0.00   0.31427E-01   0.43366E+00    21.0999    21.1171    21.1266    21.1589    21.2754
   2022      7      4   12.00      8832.00   0.20824E+02   0.00000E+00   0.20824E+02   0.21083E+02   0.21394E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.44293E+02   0.95410E+02  -0.20164E+03  -0.56239E+03   0.35323E-02   0.44147E-05   0.12585E-02       0.16     114.72     0.0000  0.00   0.13373E-01   0.16480E+01    21.0820    21.1156    21.1290    21.1641    21.2691
   2022      7      5   12.00      8856.00   0.19570E+02   0.00000E+00   0.19570E+02   0.19816E+02   0.20170E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.40591E+02   0.83874E+02  -0.17992E+03  -0.67121E+03   0.33650E-02   0.42987E-05   0.10806E-02       0.16      97.96     0.0000  0.00   0.14360E-01   0.14883E+01    19.8145    19.8473    19.8608    19.9002    20.0277
   2022      7      6   12.00      8880.00   0.19490E+02   0.00000E+00   0.19490E+02   0.19791E+02   0.20155E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45747E+02   0.93458E+02  -0.19002E+03  -0.66995E+03   0.41908E-02   0.47345E-05   0.28724E-02       0.16     104.09     0.0000  0.00   0.47609E-01   0.20228E+01    19.7893    19.8307    19.8458    19.8857    20.0148
   2022      7      7   12.00      8904.00   0.19163E+02   0.00000E+00   0.19163E+02   0.19408E+02   0.19800E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.43089E+02   0.94027E+02  -0.19127E+03  -0.72194E+03   0.41876E-02   0.45104E-05   0.25525E-02       0.16     145.66     0.0000  0.00   0.57803E-01   0.16408E+01    19.4045    19.4433    19.4587    19.5030    19.6539
   2022      7      8   12.00      8928.00   0.20629E+02   0.00000E+00   0.20629E+02   0.20749E+02   0.21058E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28937E+02   0.77977E+02  -0.17562E+03  -0.61175E+03   0.28381E-02   0.31742E-05   0.28280E-03       0.16     184.12     0.0000  0.00   0.28055E-01  -0.43938E+00    20.7466    20.7652    20.7755    20.8114    20.9313
   2022      7      9   12.00      8952.00   0.21090E+02   0.00000E+00   0.21090E+02   0.21474E+02   0.21810E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.31497E+02   0.12938E+03  -0.23809E+03  -0.58546E+03   0.56690E-02   0.61615E-05   0.89976E-02       0.16     253.32     0.0000  0.00   0.81485E-01  -0.36676E+01    21.4705    21.5221    21.5388    21.5762    21.6938
   2022      7     10   12.00      8976.00   0.21913E+02   0.00000E+00   0.21913E+02   0.22310E+02   0.22622E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.29043E+02   0.15009E+03  -0.27023E+03  -0.53505E+03   0.60246E-02   0.62628E-05   0.81293E-02       0.16     292.17     0.0000  0.00   0.12578E+00  -0.22463E+01    22.3090    22.3577    22.3737    22.4084    22.5149
   2022      7     11   12.00      9000.00   0.21815E+02   0.00000E+00   0.21815E+02   0.22122E+02   0.22417E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.37158E+02   0.13541E+03  -0.25554E+03  -0.53107E+03   0.51150E-02   0.49321E-05   0.30980E-02       0.16     232.02     0.0000  0.00   0.10714E+00  -0.11008E-01    22.1223    22.1619    22.1758    22.2093    22.3105
   2022      7     12   12.00      9024.00   0.21379E+02   0.00000E+00   0.21379E+02   0.21725E+02   0.22050E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.41886E+02   0.13283E+03  -0.24370E+03  -0.55819E+03   0.57801E-02   0.54445E-05   0.59852E-02       0.16     214.93     0.0000  0.00   0.12599E+00  -0.17066E+01    21.7238    21.7701    21.7858    21.8222    21.9292
   2022      7     13   12.00      9048.00   0.20893E+02   0.00000E+00   0.20893E+02   0.21290E+02   0.21637E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.47910E+02   0.14049E+03  -0.25795E+03  -0.59245E+03   0.61420E-02   0.62624E-05   0.70123E-02       0.16     197.41     0.0000  0.00   0.14849E+00  -0.62623E+00    21.2893    21.3401    21.3568    21.3951    21.5072
   2022      7     14   12.00      9072.00   0.19836E+02   0.00000E+00   0.19836E+02   0.20167E+02   0.20541E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.48753E+02   0.10987E+03  -0.21666E+03  -0.65756E+03   0.47846E-02   0.52351E-05   0.32299E-02       0.16     122.28     0.0000  0.00   0.83978E-01   0.15648E+01    20.1650    20.2093    20.2249    20.2666    20.3963
   2022      7     15   12.00      9096.00   0.19977E+02   0.00000E+00   0.19977E+02   0.20107E+02   0.20440E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.31918E+02   0.70204E+02  -0.15720E+03  -0.65445E+03   0.29512E-02   0.33987E-05   0.35183E-03       0.16     135.42     0.0000  0.00   0.31450E-01   0.50138E+00    20.1039    20.1242    20.1353    20.1734    20.3005
   2022      7     16   12.00      9120.00   0.21017E+02   0.00000E+00   0.21017E+02   0.21165E+02   0.21468E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.35958E+02   0.87748E+02  -0.19403E+03  -0.57474E+03   0.30560E-02   0.34439E-05   0.33302E-03       0.16     168.30     0.0000  0.00   0.35032E-01  -0.46978E+00    21.1634    21.1844    21.1952    21.2311    21.3417
   2022      7     17   12.00      9144.00   0.19966E+02   0.00000E+00   0.19966E+02   0.20324E+02   0.20701E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.55629E+02   0.12292E+03  -0.25880E+03  -0.65622E+03   0.48828E-02   0.56106E-05   0.47685E-02       0.16     145.11     0.0000  0.00   0.96732E-01   0.10226E+01    20.3238    20.3693    20.3855    20.4273    20.5556
   2022      7     18   12.00      9168.00   0.17822E+02   0.00000E+00   0.17822E+02   0.18418E+02   0.18927E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.70978E+02   0.14644E+03  -0.31576E+03  -0.85948E+03   0.64964E-02   0.80040E-05   0.12233E-01       0.16     197.43     0.0000  0.00   0.12938E+00   0.41366E+01    18.4165    18.4926    18.5185    18.5734    18.7456
   2022      7     19   12.00      9192.00   0.17226E+02   0.00000E+00   0.17226E+02   0.17760E+02   0.18271E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.65067E+02   0.13914E+03  -0.29458E+03  -0.90199E+03   0.58872E-02   0.78681E-05   0.10078E-01       0.16     180.54     0.0000  0.00   0.94603E-02   0.47931E+01    17.7545    17.8304    17.8565    17.9111    18.0836
   2022      7     20   12.00      9216.00   0.16016E+02   0.00000E+00   0.16016E+02   0.16655E+02   0.17192E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.70329E+02   0.13927E+03  -0.26479E+03  -0.96452E+03   0.10311E-01   0.85166E-04   0.12185E+00       0.17     110.07     0.0000  0.00  -0.26071E-01   0.16425E+02    16.6536    16.7469    16.7795    16.8327    17.0146
   2022      7     21   12.00      9240.00   0.15351E+02   0.00000E+00   0.15351E+02   0.15992E+02   0.16534E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.80553E+02   0.13907E+03  -0.27611E+03  -0.10396E+04   0.11432E-01   0.14158E-03   0.15644E+00       0.17     156.57     0.0000  0.00   0.68541E-01   0.19728E+02    15.9983    16.0815    16.1120    16.1653    16.3633
   2022      7     22   12.00      9264.00   0.15510E+02   0.00000E+00   0.15510E+02   0.16121E+02   0.16693E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.79485E+02   0.13199E+03  -0.27093E+03  -0.10222E+04   0.81536E-02   0.18692E-04   0.37115E-01       0.17     156.53     0.0000  0.00   0.14280E-01   0.95211E+01    16.1156    16.1983    16.2285    16.2889    16.4773
   2022      7     23   12.00      9288.00   0.16073E+02   0.00000E+00   0.16073E+02   0.16416E+02   0.16955E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.53237E+02   0.98645E+02  -0.21918E+03  -0.98740E+03   0.50126E-02   0.67890E-05   0.68015E-02       0.17     160.95     0.0000  0.00  -0.35571E-02   0.36458E+01    16.4058    16.4655    16.4882    16.5486    16.7419
   2022      7     24   12.00      9312.00   0.18044E+02   0.00000E+00   0.18044E+02   0.18187E+02   0.18611E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.39159E+02   0.76899E+02  -0.19805E+03  -0.81867E+03   0.24580E-02   0.30141E-05   0.31936E-03       0.17     153.25     0.0000  0.00   0.17230E-01  -0.27809E+00    18.1832    18.2054    18.2189    18.2682    18.4318
   2022      7     25   12.00      9336.00   0.17428E+02   0.00000E+00   0.17428E+02   0.17784E+02   0.18234E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.59625E+02   0.10993E+03  -0.22871E+03  -0.84199E+03   0.62074E-02   0.31006E-04   0.33854E-01       0.17      92.76     0.0000  0.00   0.13087E+00   0.48648E+01    17.7810    17.8301    17.8501    17.8983    18.0549
   2022      7     26   12.00      9360.00   0.16029E+02   0.00000E+00   0.16029E+02   0.16663E+02   0.17168E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.64105E+02   0.12954E+03  -0.24331E+03  -0.95778E+03   0.10378E-01   0.71364E-04   0.10364E+00       0.17     123.10     0.0000  0.00   0.20687E+00   0.14731E+02    16.6648    16.7437    16.7723    16.8228    16.9972
   2022      7     27   12.00      9384.00   0.16949E+02   0.00000E+00   0.16949E+02   0.17231E+02   0.17711E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.44515E+02   0.93604E+02  -0.20714E+03  -0.91708E+03   0.46998E-02   0.59732E-05   0.75020E-02       0.17     170.69     0.0000  0.00   0.38890E-01   0.32838E+01    17.2203    17.2749    17.2952    17.3474    17.5245
   2022      7     28   12.00      9408.00   0.18829E+02   0.00000E+00   0.18829E+02   0.19049E+02   0.19440E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.36051E+02   0.88069E+02  -0.21089E+03  -0.76333E+03   0.31713E-02   0.37757E-05   0.14914E-02       0.17     203.94     0.0000  0.00   0.19622E-01  -0.12462E+01    19.0463    19.0755    19.0895    19.1339    19.2807
