   2022      3     10   12.00      1632.00   0.48293E+01   0.00000E+00   0.48293E+01   0.48728E+01   0.49173E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.74370E+02   0.76279E+02  -0.40243E+02  -0.21390E+02   0.14099E-01   0.17174E-02   0.30535E+00       0.25      92.05     0.0000  0.00  -0.45642E+00  -0.17088E+02     4.8654     4.8713     4.8778     4.8829     4.9013
   2022      3     11   12.00      1656.00   0.42753E+01   0.00000E+00   0.42753E+01   0.45225E+01   0.46135E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.46580E+02   0.96480E+02  -0.12060E+03  -0.38101E+02   0.14810E-01   0.16870E-02   0.36583E+00       0.25     105.72     0.0000  0.00  -0.48398E+00  -0.19456E+02     4.4819     4.5230     4.5499     4.5677     4.5988
   2022      3     12   12.00      1680.00   0.28090E+01   0.00000E+00   0.28090E+01   0.31788E+01   0.33268E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.31549E+02   0.10054E+03  -0.17200E+03  -0.54868E+02   0.13669E-01   0.15142E-02   0.26454E+00       0.24     114.25     0.0000  0.00  -0.45362E+00  -0.15629E+02     3.1179     3.1792     3.2187     3.2503     3.3001
   2022      3     13   12.00      1704.00   0.21280E+00   0.00000E+00   0.73817E+00   0.10135E+01   0.12488E+01   0.00000E+00  -0.52538E+00   0.54743E+01  -0.49685E+02   0.10737E+03  -0.17809E+03  -0.70172E+02   0.12999E-01   0.87516E-03   0.13460E+00       0.32     117.92     0.0000  0.00  -0.32361E+00  -0.91358E+01     0.9332     0.9925     1.0744     1.1314     1.2410
   2022      3     14   12.00      1728.00  -0.12899E+01   0.00000E+00  -0.50280E-03   0.56496E-01   0.19694E+00   0.00000E+00  -0.12894E+01   0.54743E+01  -0.56081E+02   0.11847E+03  -0.18980E+03  -0.54730E+02   0.12765E-01   0.52445E-03   0.65384E-01       0.40     118.31     0.0000  0.00  -0.19716E+00  -0.37077E+01     0.0356     0.0542     0.0670     0.0819     0.1969
   2022      3     15   12.00      1752.00  -0.16452E+01   0.00000E+00  -0.37614E-03   0.45877E-01   0.14759E+00   0.00000E+00  -0.16448E+01   0.54743E+01  -0.35635E+02   0.11163E+03  -0.21253E+03  -0.48644E+02   0.12484E-01   0.53227E-03   0.53273E-01       0.40     120.04     0.0000  0.00  -0.23346E+00  -0.20527E+01     0.0284     0.0438     0.0550     0.0677     0.1476
   2022      3     16   12.00      1776.00  -0.20712E+01   0.00000E+00  -0.71833E-11   0.11373E+00   0.15722E+01   0.00000E+00  -0.20712E+01   0.54743E+01  -0.17989E+02   0.73778E+02  -0.19305E+03  -0.28810E+02   0.79120E-02   0.94285E-04   0.15531E-01       0.40     118.76     0.0000  0.00  -0.87565E-02  -0.10128E+01     0.0281     0.0501     0.1055     0.3672     1.5722
   2022      3     17   12.00      1800.00  -0.22695E+01   0.00000E+00  -0.72017E-11   0.47498E-01   0.23646E+00   0.00000E+00  -0.22695E+01   0.54743E+01  -0.38508E+02   0.11512E+03  -0.21388E+03  -0.50319E+02   0.14042E-01   0.48007E-03   0.58506E-01       0.40     109.89     0.0000  0.00   0.22991E+00  -0.95220E-01     0.0276     0.0441     0.0566     0.0731     0.2365
   2022      3     18   12.00      1824.00  -0.13974E+01   0.00000E+00  -0.72151E-11   0.97537E-01   0.14789E+01   0.00000E+00  -0.13974E+01   0.54743E+01  -0.30477E+02   0.71751E+02  -0.17854E+03  -0.25179E+02   0.81459E-02   0.12997E-03   0.19006E-01       0.40     102.02     0.0000  0.00  -0.13420E-02   0.75584E+00     0.0239     0.0443     0.0920     0.3050     1.4789
   2022      3     19   12.00      1848.00  -0.10431E+01   0.00000E+00  -0.23140E-03   0.37106E-01   0.10524E+00   0.00000E+00  -0.10429E+01   0.54743E+01  -0.53810E+02   0.12390E+03  -0.16951E+03  -0.53602E+02   0.14232E-01   0.82162E-03   0.82607E-01       0.40     109.89     0.0000  0.00  -0.30917E+00  -0.19221E+01     0.0238     0.0359     0.0442     0.0533     0.1052
   2022      3     20   12.00      1872.00  -0.11305E+01   0.00000E+00  -0.93857E-03   0.50712E-01   0.17442E+00   0.00000E+00  -0.11296E+01   0.54743E+01  -0.43155E+02   0.11383E+03  -0.15808E+03  -0.47026E+02   0.12435E-01   0.48355E-03   0.60456E-01       0.40     127.99     0.0000  0.00  -0.16856E+00  -0.38720E+01     0.0322     0.0487     0.0601     0.0733     0.1744
   2022      3     21   12.00      1896.00  -0.12378E+01   0.00000E+00  -0.49769E-03   0.61905E-01   0.23318E+00   0.00000E+00  -0.12373E+01   0.54743E+01  -0.30538E+02   0.10378E+03  -0.18331E+03  -0.47066E+02   0.10715E-01   0.29450E-03   0.40152E-01       0.40     138.96     0.0000  0.00  -0.40574E-01  -0.42019E+01     0.0371     0.0587     0.0743     0.0929     0.2332
   2022      3     22   12.00      1920.00  -0.17396E+01   0.00000E+00  -0.28785E-03   0.15800E+00   0.22068E+01   0.00000E+00  -0.17393E+01   0.54743E+01  -0.19794E+02   0.62841E+02  -0.16779E+03  -0.15671E+02   0.63434E-02   0.24179E-04   0.78816E-02       0.40     142.44     0.0000  0.00   0.35883E-01  -0.44797E+00     0.0285     0.0520     0.1458     0.5668     2.2068
   2022      3     23   12.00      1944.00  -0.20210E+01   0.00000E+00  -0.69667E-11   0.37936E+00   0.42362E+01   0.00000E+00  -0.20210E+01   0.54743E+01  -0.19116E+02   0.45470E+02  -0.15109E+03  -0.20160E+02   0.48025E-02   0.35678E-08   0.43092E-02       0.40     146.09     0.0000  0.00   0.17533E-01   0.27070E+00     0.0501     0.1053     0.2457     1.6161     4.2362
   2022      3     24   12.00      1968.00  -0.20704E+01   0.00000E+00  -0.69424E-11   0.65145E+00   0.43589E+01   0.00000E+00  -0.20704E+01   0.54743E+01  -0.40630E+02   0.61409E+02  -0.14552E+03  -0.32071E+02   0.70885E-02   0.14593E-09   0.54280E-02       0.40     152.83     0.0000  0.00   0.25760E-02  -0.14814E+01     0.0275     0.0514     0.3280     3.3026     4.3589
   2022      3     25   12.00      1992.00  -0.16558E+01   0.00000E+00  -0.71783E-11   0.11398E+01   0.43554E+01   0.00000E+00  -0.16558E+01   0.54743E+01  -0.21025E+02   0.21952E+02  -0.12567E+03  -0.35671E+02   0.28028E-02   0.13227E-09   0.58733E-03       0.40     156.50     0.0000  0.00  -0.16328E-02  -0.16746E+00     0.1263     0.2303     1.6879     4.2037     4.3554
   2022      3     26   12.00      2016.00  -0.12331E+01   0.00000E+00  -0.72317E-11   0.16457E+01   0.43454E+01   0.00000E+00  -0.12331E+01   0.54743E+01  -0.31511E+02   0.21789E+02  -0.11502E+03  -0.35981E+02   0.31469E-02   0.35234E-07   0.10704E-02       0.40     151.77     0.0000  0.00   0.31517E-02  -0.23883E+00     0.1397     0.3247     3.5392     4.2285     4.3454
   2022      3     27   12.00      2040.00   0.23891E+00   0.00000E+00   0.43781E+00   0.16799E+01   0.38911E+01   0.00000E+00  -0.19891E+00   0.54743E+01  -0.87985E+02   0.48099E+02  -0.65961E+02  -0.54753E+02   0.77376E-02   0.12104E-03   0.16314E-01       0.33     148.17     0.0000  0.00  -0.43923E-01  -0.29899E+01     0.4668     0.5523     3.2715     3.6600     3.8911
   2022      3     28   12.00      2064.00   0.28588E+01   0.00000E+00   0.28588E+01   0.28678E+01   0.29473E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.80164E+02   0.53181E+02  -0.38258E+02  -0.51719E+02   0.85137E-02   0.63067E-03   0.46594E-01       0.22     146.95     0.0000  0.00  -0.88389E-01  -0.69194E+01     2.8634     2.8641     2.8680     2.8778     2.9471
   2022      3     29   12.00      2088.00   0.40249E+01   0.00000E+00   0.40249E+01   0.40600E+01   0.41190E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.74943E+02   0.61225E+02  -0.49252E+02  -0.41169E+02   0.83446E-02   0.59771E-03   0.43127E-01       0.22     143.64     0.0000  0.00  -0.44953E-01  -0.70655E+01     4.0511     4.0559     4.0652     4.0748     4.1189
   2022      3     30   12.00      2112.00   0.50060E+01   0.00000E+00   0.50060E+01   0.50251E+01   0.50620E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.72897E+02   0.62208E+02  -0.41593E+02  -0.35202E+02   0.81834E-02   0.60113E-03   0.39780E-01       0.22     137.29     0.0000  0.00  -0.35766E-01  -0.67205E+01     5.0212     5.0236     5.0261     5.0319     5.0615
   2022      3     31   12.00      2136.00   0.60244E+01   0.00000E+00   0.60244E+01   0.60535E+01   0.60939E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.73933E+02   0.71152E+02  -0.46673E+02  -0.33917E+02   0.97275E-02   0.79197E-03   0.82797E-01       0.22     143.46     0.0000  0.00   0.32523E-01  -0.98521E+01     6.0476     6.0514     6.0561     6.0637     6.0932
   2022      4      1   12.00      2160.00   0.64521E+01   0.00000E+00   0.64521E+01   0.66258E+01   0.67193E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.54029E+02   0.93792E+02  -0.10906E+03  -0.45030E+02   0.94826E-02   0.74141E-03   0.71091E-01       0.22     163.08     0.0000  0.00  -0.91306E-01  -0.89988E+01     6.5909     6.6217     6.6419     6.6804     6.7159
   2022      4      2   12.00      2184.00   0.60075E+01   0.00000E+00   0.60075E+01   0.62889E+01   0.63864E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.34028E+02   0.95106E+02  -0.15133E+03  -0.59237E+02   0.75698E-02   0.46086E-03   0.30602E-01       0.22     178.52     0.0000  0.00  -0.99312E-01  -0.53968E+01     6.2420     6.2964     6.3158     6.3308     6.3798
   2022      4      3   12.00      2208.00   0.58202E+01   0.00000E+00   0.58202E+01   0.60256E+01   0.61306E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.25895E+02   0.76527E+02  -0.13619E+03  -0.61476E+02   0.59227E-02   0.19388E-03   0.10447E-01       0.22     183.59     0.0000  0.00  -0.52500E-01  -0.32870E+01     5.9802     6.0292     6.0531     6.0675     6.1271
   2022      4      4   12.00      2232.00   0.58889E+01   0.00000E+00   0.58889E+01   0.60835E+01   0.61873E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.12124E+02   0.75778E+02  -0.14252E+03  -0.61847E+02   0.57143E-02   0.18204E-03   0.90947E-02       0.22     185.21     0.0000  0.00  -0.12374E-03  -0.30976E+01     6.0396     6.0864     6.1106     6.1241     6.1829
   2022      4      5   12.00      2256.00   0.49772E+01   0.00000E+00   0.49772E+01   0.54070E+01   0.56300E+01   0.00000E+00   0.00000E+00   0.54743E+01   0.14021E+02   0.10004E+03  -0.21269E+03  -0.72441E+02   0.79307E-02   0.44152E-03   0.34713E-01       0.22     193.22     0.0000  0.00   0.61351E-01  -0.62131E+01     5.3084     5.3902     5.4749     5.5565     5.6177
   2022      4      6   12.00      2280.00   0.35689E+01   0.00000E+00   0.35689E+01   0.40119E+01   0.44178E+01   0.00000E+00   0.00000E+00   0.54743E+01   0.28349E+02   0.67850E+02  -0.22742E+03  -0.85546E+02   0.47980E-02   0.12800E-03   0.80071E-02       0.21     201.00     0.0000  0.00  -0.32303E-01  -0.14401E+01     3.8346     3.9730     4.1428     4.2285     4.4133
   2022      4      7   12.00      2304.00   0.87124E+00   0.00000E+00   0.13614E+01   0.21251E+01   0.39873E+01   0.00000E+00  -0.49021E+00   0.54743E+01   0.38579E+02   0.81401E+02  -0.25945E+03  -0.68593E+02   0.65252E-02   0.62623E-04   0.11111E-01       0.30     205.12     0.0000  0.00  -0.91228E-01   0.24327E+01     1.6825     1.8543     2.4215     3.0179     3.9856
   2022      4      8   12.00      2328.00  -0.12972E+01   0.00000E+00  -0.48769E-03   0.12988E+01   0.44516E+01   0.00000E+00  -0.12967E+01   0.54743E+01   0.37713E+01   0.68188E+02  -0.19953E+03  -0.55620E+02   0.58836E-02   0.25840E-06   0.53253E-02       0.40     201.86     0.0000  0.00   0.24538E-01   0.14642E+01     0.0482     0.0960     2.6288     4.2776     4.4516
   2022      4      9   12.00      2352.00   0.49192E+00   0.00000E+00   0.77100E+00   0.15249E+01   0.38981E+01   0.00000E+00  -0.27908E+00   0.54743E+01  -0.33201E+02   0.59645E+02  -0.10685E+03  -0.77428E+02   0.72954E-02   0.75055E-04   0.17266E-01       0.29     198.15     0.0000  0.00   0.11968E+00   0.30618E+01     0.8461     0.9012     2.0951     3.2404     3.8981
   2022      4     10   12.00      2376.00   0.30324E+01   0.00000E+00   0.30324E+01   0.31226E+01   0.39540E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.37371E+02   0.30813E+02  -0.55425E+02  -0.62476E+02   0.42693E-02   0.48995E-04   0.41471E-02       0.21     187.86     0.0000  0.00   0.50843E-01   0.39966E+00     3.0421     3.0474     3.0987     3.4267     3.9540
   2022      4     11   12.00      2400.00   0.47555E+01   0.00000E+00   0.47555E+01   0.47823E+01   0.48737E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.54032E+02   0.45658E+02  -0.55706E+02  -0.53543E+02   0.51162E-02   0.91686E-04   0.56713E-02       0.21     177.43     0.0000  0.00   0.37650E-01  -0.24011E+01     4.7725     4.7776     4.7858     4.7996     4.8737
   2022      4     12   12.00      2424.00   0.60220E+01   0.00000E+00   0.60220E+01   0.60496E+01   0.61164E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.50344E+02   0.41899E+02  -0.52416E+02  -0.41108E+02   0.45186E-02   0.54813E-04   0.32585E-02       0.21     156.71     0.0000  0.00   0.19572E-01  -0.19200E+01     6.0403     6.0465     6.0544     6.0629     6.1164
   2022      4     13   12.00      2448.00   0.71566E+01   0.00000E+00   0.71566E+01   0.71512E+01   0.71906E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.71131E+02   0.56282E+02  -0.33597E+02  -0.30908E+02   0.63687E-02   0.20530E-03   0.15603E-01       0.21     137.60     0.0000  0.00   0.87716E-01  -0.32668E+01     7.1517     7.1485     7.1495     7.1549     7.1886
   2022      4     14   12.00      2472.00   0.82706E+01   0.00000E+00   0.82706E+01   0.82796E+01   0.83105E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.87779E+02   0.79702E+02  -0.39250E+02  -0.28821E+02   0.98794E-02   0.74553E-03   0.85360E-01       0.20     139.44     0.0000  0.00   0.13782E+00  -0.91148E+01     8.2774     8.2769     8.2801     8.2870     8.3092
   2022      4     15   12.00      2496.00   0.90808E+01   0.00000E+00   0.90808E+01   0.91533E+01   0.92134E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.84413E+02   0.93486E+02  -0.71227E+02  -0.38817E+02   0.11169E-01   0.97626E-03   0.12897E+00       0.20     167.28     0.0000  0.00   0.16450E+00  -0.11964E+02     9.1377     9.1484     9.1616     9.1816     9.2098
   2022      4     16   12.00      2520.00   0.97055E+01   0.00000E+00   0.97055E+01   0.98405E+01   0.99091E+01   0.00000E+00   0.00000E+00   0.54743E+01  -0.68198E+02   0.95389E+02  -0.10252E+03  -0.47289E+02   0.86961E-02   0.59501E-03   0.47563E-01       0.20     186.37     0.0000  0.00   0.17376E+00  -0.61671E+01     9.8127     9.8360     9.8612     9.8737     9.9063
   2022      4     17   12.00      2544.00   0.10029E+02   0.00000E+00   0.10029E+02   0.10179E+02   0.10239E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.53314E+02   0.83598E+02  -0.10274E+03  -0.43758E+02   0.65032E-02   0.21486E-03   0.13528E-01       0.20     168.30     0.0000  0.00   0.10484E+00  -0.30205E+01    10.1502    10.1835    10.1956    10.2023    10.2372
   2022      4     18   12.00      2568.00   0.10140E+02   0.00000E+00   0.10140E+02   0.10312E+02   0.10375E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.50951E+02   0.87819E+02  -0.11147E+03  -0.44375E+02   0.64572E-02   0.24592E-03   0.14375E-01       0.20     161.48     0.0000  0.00   0.69637E-01  -0.35931E+01    10.2811    10.3169    10.3303    10.3373    10.3708
   2022      4     19   12.00      2592.00   0.99843E+01   0.00000E+00   0.99843E+01   0.10205E+02   0.10283E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.47011E+02   0.93177E+02  -0.14060E+03  -0.56981E+02   0.61525E-02   0.23429E-03   0.13060E-01       0.20     186.92     0.0000  0.00  -0.66727E-02  -0.38750E+01    10.1643    10.2130    10.2290    10.2382    10.2767
   2022      4     20   12.00      2616.00   0.99770E+01   0.00000E+00   0.99770E+01   0.10183E+02   0.10277E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.33106E+02   0.75254E+02  -0.16062E+03  -0.70118E+02   0.46176E-02   0.74448E-04   0.38140E-02       0.20     222.85     0.0000  0.00   0.11672E-01  -0.20068E+01    10.1360    10.1914    10.2088    10.2213    10.2728
   2022      4     21   12.00      2640.00   0.10035E+02   0.00000E+00   0.10035E+02   0.10267E+02   0.10359E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.39010E+02   0.86422E+02  -0.16907E+03  -0.73488E+02   0.55149E-02   0.14991E-03   0.84927E-02       0.20     230.09     0.0000  0.00   0.21394E-01  -0.29312E+01    10.2196    10.2759    10.2938    10.3064    10.3511
   2022      4     22   12.00      2664.00   0.10140E+02   0.00000E+00   0.10140E+02   0.10368E+02   0.10451E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.55277E+02   0.96774E+02  -0.14761E+03  -0.68533E+02   0.65416E-02   0.28344E-03   0.17107E-01       0.20     218.58     0.0000  0.00  -0.39373E-01  -0.43301E+01    10.3269    10.3754    10.3911    10.4008    10.4429
   2022      4     23   12.00      2688.00   0.10752E+02   0.00000E+00   0.10752E+02   0.10849E+02   0.10914E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.22852E+02   0.38041E+02  -0.10152E+03  -0.51768E+02   0.25576E-02   0.49147E-04   0.21371E-02       0.19     183.51     0.0000  0.00  -0.15799E-01  -0.10527E+01    10.8279    10.8512    10.8602    10.8685    10.9128
   2022      4     24   12.00      2712.00   0.11268E+02   0.00000E+00   0.11268E+02   0.11331E+02   0.11378E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.50183E+01   0.17380E+02  -0.85199E+02  -0.33835E+02   0.10761E-02   0.79618E-05   0.65013E-04       0.19     131.80     0.0000  0.00  -0.13859E-03   0.20111E+00    11.3168    11.3323    11.3384    11.3443    11.3781
   2022      4     25   12.00      2736.00   0.10816E+02   0.00000E+00   0.10816E+02   0.10942E+02   0.11002E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.12642E+02   0.53087E+02  -0.11408E+03  -0.36713E+02   0.30524E-02   0.26192E-04   0.56190E-03       0.19     116.30     0.0000  0.00   0.21821E-01   0.61595E+00    10.9108    10.9481    10.9596    10.9671    11.0015
   2022      4     26   12.00      2760.00   0.10531E+02   0.00000E+00   0.10531E+02   0.10622E+02   0.10687E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.99736E+01   0.33325E+02  -0.11002E+03  -0.52621E+02   0.21699E-02   0.17954E-04   0.24406E-03       0.19     164.32     0.0000  0.00   0.57694E-02   0.27639E+00    10.6001    10.6244    10.6330    10.6411    10.6872
   2022      4     27   12.00      2784.00   0.11039E+02   0.00000E+00   0.11039E+02   0.11164E+02   0.11245E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.21892E+02   0.54017E+02  -0.12962E+03  -0.65891E+02   0.33785E-02   0.31352E-04   0.85390E-03       0.19     217.59     0.0000  0.00  -0.22412E-01   0.85696E+00    11.1333    11.1695    11.1812    11.1913    11.2450
   2022      4     28   12.00      2808.00   0.11817E+02   0.00000E+00   0.11817E+02   0.11912E+02   0.11971E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.20433E+02   0.47568E+02  -0.12014E+03  -0.59688E+02   0.29565E-02   0.32772E-04   0.12966E-02       0.19     209.89     0.0000  0.00   0.27107E-01  -0.82464E-01    11.8891    11.9145    11.9234    11.9325    11.9707
   2022      4     29   12.00      2832.00   0.11850E+02   0.00000E+00   0.11850E+02   0.12082E+02   0.12159E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.60039E+02   0.11828E+03  -0.13802E+03  -0.54793E+02   0.81736E-02   0.50010E-03   0.46917E-01       0.19     182.09     0.0000  0.00   0.99410E-01  -0.62250E+01    12.0431    12.0891    12.1039    12.1145    12.1485
   2022      4     30   12.00      2856.00   0.11803E+02   0.00000E+00   0.11803E+02   0.12013E+02   0.12084E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.80490E+02   0.13552E+03  -0.13132E+03  -0.56838E+02   0.10405E-01   0.10578E-02   0.10381E+00       0.19     183.62     0.0000  0.00   0.31552E-01  -0.11212E+02    11.9814    12.0185    12.0306    12.0416    12.0756
   2022      5      1   12.00      2880.00   0.12074E+02   0.00000E+00   0.12074E+02   0.12281E+02   0.12355E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.69990E+02   0.11990E+03  -0.13702E+03  -0.65144E+02   0.73311E-02   0.41868E-03   0.29649E-01       0.19     214.05     0.0000  0.00   0.56868E-01  -0.52529E+01    12.2458    12.2879    12.3014    12.3112    12.3485
   2022      5      2   12.00      2904.00   0.12838E+02   0.00000E+00   0.12838E+02   0.12969E+02   0.13038E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.22719E+02   0.58431E+02  -0.14730E+03  -0.73338E+02   0.31225E-02   0.47706E-04   0.27503E-02       0.19     249.74     0.0000  0.00   0.10170E-01   0.40979E+00    12.9409    12.9724    12.9831    12.9939    13.0349
   2022      5      3   12.00      2928.00   0.12447E+02   0.00000E+00   0.12447E+02   0.12935E+02   0.13259E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.26892E+02   0.14045E+03  -0.24356E+03  -0.89119E+02   0.77448E-02   0.21906E-03   0.29341E-01       0.18     269.10     0.0000  0.00  -0.14859E+00   0.43709E+01    12.8071    12.8942    12.9791    13.1991    13.2466
   2022      5      4   12.00      2952.00   0.11491E+02   0.00000E+00   0.11491E+02   0.11932E+02   0.12090E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.19843E+02   0.14405E+03  -0.26080E+03  -0.10170E+03   0.81072E-02   0.35499E-03   0.30332E-01       0.18     272.62     0.0000  0.00  -0.20739E+00   0.34338E+01    11.8513    11.9359    11.9836    12.0207    12.0726
   2022      5      5   12.00      2976.00   0.11157E+02   0.00000E+00   0.11157E+02   0.11492E+02   0.11610E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.24176E+02   0.10934E+03  -0.21190E+03  -0.98168E+02   0.61971E-02   0.13860E-03   0.10903E-01       0.18     273.61     0.0000  0.00  -0.11844E+00   0.20042E+01    11.4276    11.5070    11.5261    11.5420    11.5954
   2022      5      6   12.00      3000.00   0.11517E+02   0.00000E+00   0.11517E+02   0.11785E+02   0.11883E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.26439E+02   0.10442E+03  -0.18147E+03  -0.83379E+02   0.61135E-02   0.13577E-03   0.10216E-01       0.18     246.27     0.0000  0.00  -0.11018E+00   0.21160E+01    11.7327    11.7965    11.8135    11.8270    11.8749
   2022      5      7   12.00      3024.00   0.11298E+02   0.00000E+00   0.11298E+02   0.11595E+02   0.11682E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.28176E+02   0.11314E+03  -0.15998E+03  -0.58613E+02   0.69867E-02   0.34526E-03   0.22501E-01       0.18     162.97     0.0000  0.00  -0.34401E-01   0.46200E+01    11.5450    11.6072    11.6243    11.6346    11.6697
   2022      5      8   12.00      3048.00   0.10325E+02   0.00000E+00   0.10325E+02   0.10588E+02   0.10740E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.45011E+02   0.11372E+03  -0.12382E+03  -0.39744E+02   0.96447E-02   0.68972E-03   0.71344E-01       0.18      95.06     0.0000  0.00   0.17604E+00   0.85299E+01    10.5225    10.5645    10.6414    10.7022    10.7281
   2022      5      9   12.00      3072.00   0.98960E+01   0.00000E+00   0.98960E+01   0.10058E+02   0.10122E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.54482E+02   0.96475E+02  -0.95518E+02  -0.45901E+02   0.86331E-02   0.64142E-03   0.48912E-01       0.18     113.59     0.0000  0.00   0.54149E-01   0.71001E+01    10.0284    10.0602    10.0759    10.0859    10.1170
   2022      5     10   12.00      3096.00   0.10098E+02   0.00000E+00   0.10098E+02   0.10247E+02   0.10307E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.55105E+02   0.10111E+03  -0.10209E+03  -0.51835E+02   0.79696E-02   0.55624E-03   0.34859E-01       0.18     147.05     0.0000  0.00  -0.83543E-01   0.60697E+01    10.2209    10.2501    10.2611    10.2698    10.3029
   2022      5     11   12.00      3120.00   0.10436E+02   0.00000E+00   0.10436E+02   0.10553E+02   0.10611E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.48271E+02   0.85745E+02  -0.94924E+02  -0.48578E+02   0.65200E-02   0.30882E-03   0.15407E-01       0.18     146.11     0.0000  0.00  -0.25142E-01   0.42570E+01    10.5295    10.5549    10.5661    10.5730    10.6070
   2022      5     12   12.00      3144.00   0.10787E+02   0.00000E+00   0.10787E+02   0.10941E+02   0.11002E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.50823E+02   0.93764E+02  -0.11008E+03  -0.55333E+02   0.77248E-02   0.53372E-03   0.32275E-01       0.18     170.34     0.0000  0.00  -0.45573E-01   0.59713E+01    10.9163    10.9443    10.9550    10.9634    10.9971
   2022      5     13   12.00      3168.00   0.11054E+02   0.00000E+00   0.11054E+02   0.11355E+02   0.11548E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.49205E+02   0.12252E+03  -0.16501E+03  -0.79813E+02   0.86600E-02   0.44629E-03   0.48947E-01       0.18     243.43     0.0000  0.00  -0.97099E-01   0.71996E+01    11.2525    11.3002    11.4637    11.4981    11.5430
   2022      5     14   12.00      3192.00   0.11529E+02   0.00000E+00   0.11529E+02   0.11841E+02   0.11944E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.40719E+02   0.12906E+03  -0.19331E+03  -0.91402E+02   0.73030E-02   0.34789E-03   0.26948E-01       0.17     275.14     0.0000  0.00  -0.57723E-01   0.52258E+01    11.7866    11.8534    11.8711    11.8839    11.9319
   2022      5     15   12.00      3216.00   0.11951E+02   0.00000E+00   0.11951E+02   0.12192E+02   0.12284E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.36950E+02   0.10727E+03  -0.16715E+03  -0.77596E+02   0.61730E-02   0.18978E-03   0.12662E-01       0.17     237.65     0.0000  0.00   0.53820E-01   0.35082E+01    12.1457    12.2017    12.2181    12.2303    12.2740
   2022      5     16   12.00      3240.00   0.12339E+02   0.00000E+00   0.12339E+02   0.12547E+02   0.12628E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.32010E+02   0.90349E+02  -0.15305E+03  -0.71272E+02   0.53992E-02   0.12808E-03   0.97293E-02       0.17     223.88     0.0000  0.00  -0.37462E-01   0.20622E+01    12.5049    12.5556    12.5702    12.5819    12.6225
   2022      5     17   12.00      3264.00   0.12415E+02   0.00000E+00   0.12415E+02   0.12701E+02   0.12796E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.45982E+02   0.13583E+03  -0.19877E+03  -0.89147E+02   0.85477E-02   0.46635E-03   0.35525E-01       0.17     266.68     0.0000  0.00  -0.23936E+00   0.32582E+01    12.6549    12.7090    12.7277    12.7398    12.7831
   2022      5     18   12.00      3288.00   0.12978E+02   0.00000E+00   0.12978E+02   0.13274E+02   0.13444E+02   0.00000E+00   0.00000E+00   0.54743E+01  -0.44610E+02   0.11489E+03  -0.18921E+03  -0.99023E+02   0.61477E-02   0.13493E-03   0.12013E-01       0.17     311.95     0.0000  0.00  -0.10879E+00   0.23939E+01    13.1960    13.2542    13.3342    13.3824    13.4366
