 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     11      2   12.00       768.00  -0.47762E+01   0.00000E+00  -0.14547E-07   0.15020E+01   0.29032E+01   0.00000E+00  -0.47762E+01   0.00000E+00   0.23657E+02   0.12975E+02  -0.89526E+02   0.10119E+01   0.76397E-02   0.95568E-55   0.10579E-42       0.40      40.82     0.0000  0.00  -0.19035E-41  -0.20800E-39     0.6354     1.2332     2.7172     2.9025     2.8952
   2000     11      3   12.00       792.00  -0.73105E+01   0.00000E+00  -0.18108E-07   0.15821E+01   0.28407E+01   0.00000E+00  -0.16728E+01  -0.73105E+01  -0.61409E+01  -0.41943E+01  -0.42558E+02   0.11413E+01   0.67525E-02   0.22529E-71   0.70468E-59       0.85      39.89     0.0000  0.00  -0.11785E-57  -0.13709E-55     0.7696     1.3862     2.6751     2.8400     2.8321
   2000     11      4   12.00       816.00  -0.76026E+01   0.00000E+00  -0.18632E-07   0.15560E+01   0.27523E+01   0.00000E+00  -0.95071E+00  -0.76026E+01  -0.11989E+02  -0.39263E+01  -0.36978E+02   0.85631E+00   0.59872E-02   0.60686E-90   0.64698E-75       0.85      37.88     0.0000  0.00  -0.10653E-73  -0.12588E-71     0.7167     1.4307     2.5925     2.7517     2.7454
   2000     11      5   12.00       840.00  -0.79545E+01   0.00000E+00  -0.18829E-07   0.15335E+01   0.26694E+01   0.00000E+00  -0.77516E+00  -0.79545E+01  -0.19840E+02  -0.24539E+01  -0.30600E+02   0.68649E+00   0.57861E-02   0.63502-106   0.60564E-91       0.85      34.55     0.0000  0.00  -0.99723E-90  -0.11784E-87     0.6833     1.4641     2.5171     2.6689     2.6637
   2000     11      6   12.00       864.00  -0.77899E+01   0.00000E+00  -0.18860E-07   0.15099E+01   0.25899E+01   0.00000E+00  -0.53339E+00  -0.77899E+01  -0.24921E+02  -0.12166E+01  -0.26756E+02   0.56480E+00   0.57349E-02   0.52612-122   0.57038-107       0.85      30.25     0.0000  0.00  -0.93921-106  -0.11099-103     0.6550     1.4875     2.4465     2.5894     2.5849
   2000     11      7   12.00       888.00  -0.69981E+01   0.00000E+00  -0.18702E-07   0.14820E+01   0.25123E+01   0.00000E+00  -0.48816E+00  -0.69981E+01  -0.26395E+02  -0.81688E+00  -0.25682E+02   0.45053E+00   0.58171E-02   0.47626-138   0.54097-123       0.85      26.44     0.0000  0.00  -0.89080-122  -0.10527-119     0.6239     1.5001     2.3788     2.5118     2.5081
   2000     11      8   12.00       912.00  -0.63107E+01   0.00000E+00  -0.18550E-07   0.14542E+01   0.24377E+01   0.00000E+00  -0.44595E+00  -0.63107E+01  -0.26499E+02  -0.12802E+01  -0.25114E+02   0.35613E+00   0.53950E-02   0.47412-154   0.51332-139       0.85      23.82     0.0000  0.00  -0.84527-138  -0.99885-136     0.5974     1.5064     2.3149     2.4373     2.4342
   2000     11      9   12.00       936.00  -0.58131E+01   0.00000E+00  -0.18376E-07   0.14265E+01   0.23660E+01   0.00000E+00  -0.39820E+00  -0.58131E+01  -0.27788E+02  -0.14524E+01  -0.23653E+02   0.27720E+00   0.54506E-02   0.00000E+00   0.48775-155       0.85      21.97     0.0000  0.00  -0.80317-154  -0.94910-152     0.5744     1.5077     2.2543     2.3657     2.3632
   2000     11     10   12.00       960.00  -0.54524E+01   0.00000E+00  -0.18181E-07   0.13991E+01   0.22972E+01   0.00000E+00  -0.36489E+00  -0.54524E+01  -0.27554E+02  -0.21127E+01  -0.23227E+02   0.21110E+00   0.55560E-02   0.00000E+00   0.46411-171       0.85      20.28     0.0000  0.00  -0.76425-170  -0.90311-168     0.5543     1.5048     2.1967     2.2969     2.2948
   2000     11     11   12.00       984.00  -0.53416E+01   0.00000E+00  -0.18014E-07   0.13722E+01   0.22311E+01   0.00000E+00  -0.39346E+00  -0.53416E+01  -0.26209E+02  -0.25754E+01  -0.24110E+02   0.15583E+00   0.51604E-02   0.00000E+00   0.44149-187       0.85      18.41     0.0000  0.00  -0.72700-186  -0.85909-184     0.5368     1.4986     2.1416     2.2307     2.2291
