 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      2     19   12.00      1176.00  -0.13443E+02   0.00000E+00  -0.38250E-10   0.11766E+01   0.33415E+01   0.00000E+00  -0.35667E-02  -0.13443E+02  -0.11309E+02   0.10512E+02   0.79686E+00  -0.25021E+01   0.14563E-01   0.00000E+00   0.00000E+00       0.85      46.01     0.0000  0.00   0.55335-321   0.32855-319     0.2792     0.8794     1.7264     2.5991     3.3415
   2022      2     20   12.00      1200.00  -0.86345E+01   0.00000E+00  -0.37966E-10   0.11725E+01   0.33332E+01   0.00000E+00  -0.28695E-02  -0.86345E+01  -0.94148E+01   0.13828E+01   0.80319E+01  -0.24960E+01   0.16574E-01   0.00000E+00   0.00000E+00       0.85      46.67     0.0000  0.00   0.55335-321   0.32855-319     0.2776     0.8753     1.7209     2.5925     3.3332
   2022      2     21   12.00      1224.00  -0.23415E+01   0.00000E+00  -0.36614E-10   0.11672E+01   0.33241E+01   0.00000E+00  -0.85317E-03  -0.23415E+01  -0.45099E+01  -0.71700E+01   0.11680E+02  -0.24979E+01   0.17035E-01   0.00000E+00   0.00000E+00       0.85      47.40     0.0000  0.00   0.55335-321   0.32855-319     0.2752     0.8701     1.7140     2.5842     3.3241
   2022      2     22   12.00      1248.00   0.20318E-01   0.00000E+00  -0.34283E-10   0.11608E+01   0.33141E+01   0.00000E+00   0.97701E-05   0.20318E-01  -0.13636E+02   0.19130E+01   0.11723E+02  -0.25013E+01   0.15146E-01   0.00000E+00   0.00000E+00       0.85      45.50     0.0000  0.00   0.55335-321   0.32855-319     0.2722     0.8636     1.7056     2.5744     3.3141
   2022      2     23   12.00      1272.00   0.20790E+00   0.00000E+00  -0.32209E-10   0.11547E+01   0.33043E+01   0.00000E+00   0.10035E-04   0.20790E+00  -0.12264E+02   0.50083E+01   0.72557E+01  -0.24996E+01   0.11841E-01   0.00000E+00   0.00000E+00       0.85      41.46     0.0000  0.00   0.55335-321   0.32855-319     0.2695     0.8573     1.6972     2.5651     3.3043
   2022      2     24   12.00      1296.00   0.62485E+00   0.00000E+00  -0.30519E-10   0.11488E+01   0.32947E+01   0.00000E+00   0.10017E-04   0.62476E+00  -0.16750E+02   0.93911E+01   0.73585E+01  -0.24961E+01   0.14456E-01   0.00000E+00   0.00000E+00       0.85      39.96     0.0000  0.00   0.55335-321   0.32855-319     0.2670     0.8513     1.6891     2.5562     3.2947
   2022      2     25   12.00      1320.00   0.67423E+00   0.00000E+00  -0.26839E-10   0.11402E+01   0.32829E+01   0.00000E+00   0.10028E-04   0.67423E+00  -0.23176E+02   0.82635E+01   0.14912E+02  -0.25162E+01   0.16029E-01   0.00000E+00   0.00000E+00       0.85      41.46     0.0000  0.00   0.55335-321   0.32855-319     0.2627     0.8425     1.6779     2.5433     3.2829
   2022      2     26   12.00      1344.00   0.14707E+00   0.00000E+00  -0.22159E-10   0.11298E+01   0.32698E+01   0.00000E+00   0.10071E-04   0.14707E+00  -0.22188E+02   0.28355E+01   0.19352E+02  -0.25268E+01   0.14209E-01   0.00000E+00   0.00000E+00       0.85      42.17     0.0000  0.00   0.55335-321   0.32855-319     0.2576     0.8317     1.6640     2.5283     3.2698
   2022      2     27   12.00      1368.00  -0.59523E+00   0.00000E+00  -0.19872E-10   0.11222E+01   0.32588E+01   0.00000E+00   0.10115E-04  -0.59523E+00  -0.14923E+02  -0.14072E+01   0.16331E+02  -0.25185E+01   0.12332E-01   0.00000E+00   0.00000E+00       0.85      43.18     0.0000  0.00   0.55335-321   0.32855-319     0.2547     0.8236     1.6532     2.5176     3.2588
   2022      2     28   12.00      1392.00  -0.29003E+01   0.00000E+00  -0.18985E-10   0.11165E+01   0.32492E+01   0.00000E+00   0.10174E-04  -0.29003E+01  -0.84200E+01  -0.44688E+01   0.12889E+02  -0.25060E+01   0.77048E-02   0.00000E+00   0.00000E+00       0.85      52.22     0.0000  0.00   0.55335-321   0.32855-319     0.2529     0.8175     1.6446     2.5094     3.2492
