   2022      3     10   12.00      1632.00   0.43784E+01   0.00000E+00   0.43784E+01   0.43429E+01   0.44034E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.10240E+03   0.69494E+02  -0.25200E+01  -0.17926E+02   0.15228E-01   0.11587E-02   0.38936E+00       0.25      67.71     0.0000  0.00  -0.19701E+01  -0.66197E+02     4.3473     4.3400     4.3390     4.3398     4.3491
   2022      3     11   12.00      1656.00   0.42351E+01   0.00000E+00   0.42351E+01   0.43645E+01   0.44115E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.84953E+02   0.94748E+02  -0.79859E+02  -0.26251E+02   0.15810E-01   0.10343E-02   0.47417E+00       0.25      70.36     0.0000  0.00  -0.21134E+01  -0.76533E+02     4.3494     4.3718     4.3780     4.3857     4.4004
   2022      3     12   12.00      1680.00   0.33343E+01   0.00000E+00   0.33343E+01   0.36510E+01   0.37444E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.74425E+02   0.10527E+03  -0.13597E+03  -0.37058E+02   0.14600E-01   0.99620E-03   0.34126E+00       0.24      72.77     0.0000  0.00  -0.19123E+01  -0.60002E+02     3.6189     3.6697     3.6810     3.6882     3.7210
   2022      3     13   12.00      1704.00   0.23275E+01   0.00000E+00   0.23275E+01   0.25754E+01   0.26542E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.79374E+02   0.10458E+03  -0.15374E+03  -0.45585E+02   0.13473E-01   0.91893E-03   0.22121E+00       0.24      73.14     0.0000  0.00  -0.17809E+01  -0.46006E+02     2.5481     2.5878     2.6027     2.6093     2.6316
   2022      3     14   12.00      1728.00   0.13588E+01   0.00000E+00   0.13588E+01   0.16120E+01   0.17057E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.10526E+03   0.98155E+02  -0.13027E+03  -0.47113E+02   0.12552E-01   0.69448E-03   0.16680E+00       0.24      74.11     0.0000  0.00  -0.16961E+01  -0.33638E+02     1.5832     1.6279     1.6368     1.6453     1.6909
   2022      3     15   12.00      1752.00   0.84331E+00   0.00000E+00   0.84331E+00   0.10214E+01   0.10857E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.12846E+03   0.93151E+02  -0.10717E+03  -0.48879E+02   0.12369E-01   0.57526E-03   0.13793E+00       0.24      82.45     0.0000  0.00  -0.19179E+01  -0.17177E+02     1.0026     1.0310     1.0395     1.0462     1.0754
   2022      3     16   12.00      1776.00  -0.98526E-01   0.00000E+00   0.26193E+00   0.61656E+00   0.21086E+01   0.00000E+00  -0.36045E+00   0.35177E+01  -0.10144E+03   0.67931E+02  -0.10154E+03  -0.31384E+02   0.71918E-02   0.10549E-03   0.35989E-01       0.30      96.07     0.0000  0.00  -0.10677E+00  -0.56864E+01     0.4004     0.6223     0.7353     1.1025     2.1071
   2022      3     17   12.00      1800.00   0.29923E+00   0.00000E+00   0.29923E+00   0.36917E+00   0.42343E+00   0.00000E+00   0.00000E+00   0.35177E+01  -0.13488E+03   0.90897E+02  -0.65880E+02  -0.64867E+02   0.14057E-01   0.87114E-03   0.21391E+00       0.24     107.35     0.0000  0.00   0.24347E+01  -0.44036E+01     0.3598     0.3725     0.3770     0.3827     0.4199
   2022      3     18   12.00      1824.00   0.24409E+00   0.00000E+00   0.38695E+00   0.64645E+00   0.16179E+01   0.00000E+00  -0.14286E+00   0.35177E+01  -0.84059E+02   0.57023E+02  -0.54546E+02  -0.46013E+02   0.73525E-02   0.25099E-03   0.57624E-01       0.26     121.33     0.0000  0.00   0.63452E-02   0.61160E+01     0.5435     0.6537     0.6998     0.8869     1.6177
   2022      3     19   12.00      1848.00   0.10548E+01   0.00000E+00   0.10548E+01   0.10913E+01   0.11397E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.11742E+03   0.91777E+02  -0.53059E+02  -0.60497E+02   0.14356E-01   0.77186E-03   0.25273E+00       0.24     141.43     0.0000  0.00  -0.26300E+01  -0.16041E+02     1.0872     1.0917     1.0950     1.1006     1.1381
   2022      3     20   12.00      1872.00   0.14790E+01   0.00000E+00   0.14790E+01   0.15791E+01   0.16324E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.10425E+03   0.95716E+02  -0.90796E+02  -0.62832E+02   0.12265E-01   0.69494E-03   0.15045E+00       0.23     158.11     0.0000  0.00  -0.15374E+01  -0.35377E+02     1.5695     1.5832     1.5885     1.5945     1.6269
   2022      3     21   12.00      1896.00   0.16061E+01   0.00000E+00   0.16061E+01   0.17566E+01   0.18223E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.99669E+02   0.94798E+02  -0.11787E+03  -0.64687E+02   0.10319E-01   0.53740E-03   0.79391E-01       0.23     160.82     0.0000  0.00  -0.43805E+00  -0.35806E+02     1.7420     1.7635     1.7705     1.7778     1.8141
   2022      3     22   12.00      1920.00   0.12643E+01   0.00000E+00   0.12643E+01   0.16755E+01   0.32483E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.64341E+02   0.55891E+02  -0.12585E+03  -0.48167E+02   0.53530E-02   0.10352E-03   0.13305E-01       0.23     155.59     0.0000  0.00   0.18374E+00  -0.28355E+01     1.4201     1.7114     1.8032     2.1718     3.2473
   2022      3     23   12.00      1944.00   0.14707E+00   0.00000E+00   0.65077E+00   0.16063E+01   0.34616E+01   0.00000E+00  -0.50369E+00   0.35177E+01  -0.49887E+02   0.38869E+02  -0.11661E+03  -0.37823E+02   0.37658E-02   0.50669E-04   0.79882E-02       0.29     153.90     0.0000  0.00   0.12387E+00   0.25045E+01     1.3135     1.6567     1.7545     2.2407     3.4613
   2022      3     24   12.00      1968.00   0.13582E+01   0.00000E+00   0.13582E+01   0.14809E+01   0.20880E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.77850E+02   0.64564E+02  -0.99580E+02  -0.84993E+02   0.62119E-02   0.38525E-04   0.10929E-01       0.23     157.31     0.0000  0.00  -0.42631E-01  -0.13928E+02     1.4431     1.4717     1.4914     1.6413     2.0880
   2022      3     25   12.00      1992.00   0.15769E+00   0.00000E+00   0.54350E+00   0.17648E+01   0.40927E+01   0.00000E+00  -0.38581E+00   0.35177E+01  -0.26836E+02   0.20018E+02  -0.85512E+02  -0.32057E+02   0.22606E-02   0.73379E-06   0.11566E-02       0.31     162.86     0.0000  0.00  -0.12843E-01  -0.11922E+01     1.4519     1.8135     1.8613     2.6124     4.0927
   2022      3     26   12.00      2016.00   0.13894E+00   0.00000E+00   0.38239E+00   0.18056E+01   0.44028E+01   0.00000E+00  -0.24345E+00   0.35177E+01  -0.33404E+02   0.19946E+02  -0.56206E+02  -0.52726E+02   0.29648E-02   0.13989E-07   0.37241E-02       0.26     162.29     0.0000  0.00   0.69979E-01  -0.23599E+01     0.8792     1.7913     2.3894     4.0557     4.4028
   2022      3     27   12.00      2040.00   0.24483E+01   0.00000E+00   0.24483E+01   0.24585E+01   0.26066E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.85021E+02   0.59952E+02  -0.40746E+02  -0.80950E+02   0.97912E-02   0.38158E-03   0.54291E-01       0.23     161.01     0.0000  0.00   0.92776E+00  -0.20748E+02     2.4484     2.4518     2.4599     2.5114     2.6055
   2022      3     28   12.00      2064.00   0.33942E+01   0.00000E+00   0.33942E+01   0.33970E+01   0.34275E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.85447E+02   0.60300E+02  -0.41503E+02  -0.54439E+02   0.10073E-01   0.48108E-03   0.64673E-01       0.22     155.73     0.0000  0.00   0.67666E+00  -0.28107E+02     3.3967     3.3956     3.3971     3.4010     3.4263
   2022      3     29   12.00      2088.00   0.40910E+01   0.00000E+00   0.40910E+01   0.41100E+01   0.41370E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.81735E+02   0.66380E+02  -0.49491E+02  -0.48381E+02   0.97192E-02   0.46843E-03   0.57078E-01       0.22     148.23     0.0000  0.00   0.46745E+00  -0.29099E+02     4.1082     4.1097     4.1114     4.1151     4.1366
   2022      3     30   12.00      2112.00   0.47995E+01   0.00000E+00   0.47995E+01   0.47881E+01   0.48210E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.84260E+02   0.60849E+02  -0.29087E+02  -0.41420E+02   0.89458E-02   0.27201E-03   0.35941E-01       0.22     138.17     0.0000  0.00   0.93123E+00  -0.74525E+01     4.7898     4.7859     4.7864     4.7893     4.8118
   2022      3     31   12.00      2136.00   0.56932E+01   0.00000E+00   0.56932E+01   0.56563E+01   0.57015E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.94810E+02   0.61194E+02  -0.16758E+02  -0.37445E+02   0.11281E-01   0.51992E-03   0.91863E-01       0.22     139.68     0.0000  0.00   0.16215E+01   0.82997E+01     5.6605     5.6528     5.6523     5.6543     5.6709
   2022      4      1   12.00      2160.00   0.62454E+01   0.00000E+00   0.62454E+01   0.63359E+01   0.63782E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.73823E+02   0.88174E+02  -0.85733E+02  -0.48907E+02   0.11109E-01   0.43003E-03   0.86300E-01       0.22     163.88     0.0000  0.00   0.15556E+01  -0.56842E+01     6.3274     6.3398     6.3436     6.3485     6.3728
   2022      4      2   12.00      2184.00   0.62587E+01   0.00000E+00   0.62587E+01   0.63812E+01   0.64661E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.26540E+02   0.59462E+02  -0.12678E+03  -0.63528E+02   0.48570E-02   0.10353E-03   0.14256E-01       0.22     189.30     0.0000  0.00   0.40168E+00  -0.59308E+01     6.3603     6.3896     6.3972     6.4048     6.4644
   2022      4      3   12.00      2208.00   0.65303E+01   0.00000E+00   0.65303E+01   0.66452E+01   0.67373E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.10611E+02   0.42934E+02  -0.12184E+03  -0.63128E+02   0.32103E-02   0.20954E-04   0.26803E-02       0.22     188.55     0.0000  0.00   0.16500E+00  -0.26175E+01     6.6239     6.6537     6.6610     6.6680     6.7371
   2022      4      4   12.00      2232.00   0.63211E+01   0.00000E+00   0.63211E+01   0.64893E+01   0.65644E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.13511E+02   0.95135E+02  -0.16184E+03  -0.66776E+02   0.75091E-02   0.19102E-03   0.19443E-01       0.22     180.77     0.0000  0.00   0.45975E+00  -0.14364E+02     6.4635     6.5000     6.5105     6.5197     6.5606
   2022      4      5   12.00      2256.00   0.56078E+01   0.00000E+00   0.56078E+01   0.59057E+01   0.59909E+01   0.00000E+00   0.00000E+00   0.35177E+01   0.63170E+01   0.11215E+03  -0.22051E+03  -0.80127E+02   0.89235E-02   0.39135E-03   0.42558E-01       0.22     194.39     0.0000  0.00   0.21987E+00  -0.26372E+02     5.8775     5.9207     5.9327     5.9430     5.9761
   2022      4      6   12.00      2280.00   0.44437E+01   0.00000E+00   0.44437E+01   0.47817E+01   0.48948E+01   0.00000E+00   0.00000E+00   0.35177E+01   0.32223E+02   0.10881E+03  -0.27716E+03  -0.97220E+02   0.83478E-02   0.35578E-03   0.34768E-01       0.21     212.01     0.0000  0.00  -0.13870E+00  -0.24230E+02     4.7412     4.8010     4.8177     4.8313     4.8774
   2022      4      7   12.00      2304.00   0.31280E+01   0.00000E+00   0.31280E+01   0.34801E+01   0.36971E+01   0.00000E+00   0.00000E+00   0.35177E+01   0.46111E+02   0.88689E+02  -0.28318E+03  -0.10095E+03   0.63407E-02   0.11464E-03   0.11450E-01       0.21     216.67     0.0000  0.00  -0.22372E+00  -0.13699E+02     3.4199     3.5003     3.5301     3.5604     3.6935
   2022      4      8   12.00      2328.00   0.31652E+00   0.00000E+00   0.88420E+00   0.26512E+01   0.43962E+01   0.00000E+00  -0.56768E+00   0.35177E+01   0.79316E+01   0.46729E+02  -0.17614E+03  -0.71537E+02   0.35454E-02   0.36559E-07   0.26006E-02       0.28     209.91     0.0000  0.00   0.54520E-01   0.86560E+00     1.6218     2.8169     3.3886     3.9783     4.3962
   2022      4      9   12.00      2352.00   0.21545E+01   0.00000E+00   0.21545E+01   0.23600E+01   0.27819E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.18211E+02   0.66234E+02  -0.13636E+03  -0.10580E+03   0.74312E-02   0.17483E-03   0.20721E-01       0.21     205.08     0.0000  0.00   0.22930E+00   0.18713E+02     2.2831     2.3331     2.4231     2.5808     2.7812
   2022      4     10   12.00      2376.00   0.31460E+01   0.00000E+00   0.31460E+01   0.31866E+01   0.38176E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.42980E+02   0.34500E+02  -0.59026E+02  -0.69113E+02   0.48453E-02   0.33548E-04   0.58809E-02       0.21     192.33     0.0000  0.00   0.18130E+00   0.51770E+01     3.1577     3.1607     3.1715     3.4037     3.8176
   2022      4     11   12.00      2400.00   0.42771E+01   0.00000E+00   0.42771E+01   0.42746E+01   0.43752E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.62634E+02   0.43610E+02  -0.46421E+02  -0.65071E+02   0.54707E-02   0.26126E-04   0.52399E-02       0.21     183.50     0.0000  0.00   0.39678E+00  -0.13948E+01     4.2742     4.2705     4.2745     4.2854     4.3751
   2022      4     12   12.00      2424.00   0.52995E+01   0.00000E+00   0.52995E+01   0.52822E+01   0.53588E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.63954E+02   0.41032E+02  -0.34266E+02  -0.51362E+02   0.51582E-02   0.16959E-04   0.40384E-02       0.21     163.08     0.0000  0.00   0.35879E+00   0.19781E+01     5.2861     5.2773     5.2790     5.2865     5.3577
   2022      4     13   12.00      2448.00   0.63327E+01   0.00000E+00   0.63327E+01   0.62846E+01   0.63425E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.83033E+02   0.48764E+02  -0.78496E+01  -0.39319E+02   0.66794E-02   0.10336E-03   0.13435E-01       0.21     143.96     0.0000  0.00   0.52231E+00   0.82025E+01     6.2943     6.2787     6.2766     6.2793     6.3153
   2022      4     14   12.00      2472.00   0.74339E+01   0.00000E+00   0.74339E+01   0.73841E+01   0.74450E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.10064E+03   0.67533E+02  -0.84267E+01  -0.36050E+02   0.10339E-01   0.45584E-03   0.71749E-01       0.20     146.67     0.0000  0.00   0.12685E+01   0.16040E+02     7.3905     7.3796     7.3784     7.3799     7.3955
   2022      4     15   12.00      2496.00   0.83564E+01   0.00000E+00   0.83564E+01   0.83396E+01   0.83799E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.95905E+02   0.82337E+02  -0.42837E+02  -0.46051E+02   0.11789E-01   0.52654E-03   0.11860E+00       0.20     175.19     0.0000  0.00   0.16799E+01   0.20409E+02     8.3423     8.3367     8.3372     8.3405     8.3629
   2022      4     16   12.00      2520.00   0.90936E+01   0.00000E+00   0.90936E+01   0.91362E+01   0.91700E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.76385E+02   0.86355E+02  -0.80660E+02  -0.54319E+02   0.89670E-02   0.36842E-03   0.45422E-01       0.20     194.91     0.0000  0.00   0.87615E+00   0.18646E+02     9.1318     9.1372     9.1400     9.1446     9.1686
   2022      4     17   12.00      2544.00   0.95494E+01   0.00000E+00   0.95494E+01   0.96156E+01   0.96638E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.58531E+02   0.77308E+02  -0.88715E+02  -0.49493E+02   0.65976E-02   0.12859E-03   0.12039E-01       0.20     175.68     0.0000  0.00   0.42377E+00   0.11230E+02     9.6066     9.6185     9.6233     9.6283     9.6632
   2022      4     18   12.00      2568.00   0.98012E+01   0.00000E+00   0.98012E+01   0.98886E+01   0.99389E+01   0.00000E+00   0.00000E+00   0.35177E+01  -0.58578E+02   0.89133E+02  -0.10328E+03  -0.50300E+02   0.71652E-02   0.14709E-03   0.16009E-01       0.20     170.11     0.0000  0.00   0.59986E+00   0.87644E+01     9.8756     9.8935     9.8994     9.9049     9.9375
   2022      4     19   12.00      2592.00   0.98335E+01   0.00000E+00   0.98335E+01   0.99653E+01   0.10028E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.56624E+02   0.10349E+03  -0.13867E+03  -0.64779E+02   0.74398E-02   0.14020E-03   0.17333E-01       0.20     199.01     0.0000  0.00   0.73483E+00   0.59890E+00     9.9454     9.9738     9.9816     9.9873    10.0250
   2022      4     20   12.00      2616.00   0.99024E+01   0.00000E+00   0.99024E+01   0.10058E+02   0.10126E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.42216E+02   0.89349E+02  -0.16191E+03  -0.81308E+02   0.57516E-02   0.48121E-04   0.63458E-02       0.20     238.77     0.0000  0.00   0.43186E+00   0.20240E+01    10.0325    10.0700    10.0775    10.0851    10.1231
   2022      4     21   12.00      2640.00   0.10069E+02   0.00000E+00   0.10069E+02   0.10224E+02   0.10292E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.46983E+02   0.10031E+03  -0.17208E+03  -0.85307E+02   0.67855E-02   0.97810E-04   0.12887E-01       0.20     246.73     0.0000  0.00   0.59890E+00   0.38201E+01    10.1992    10.2351    10.2435    10.2508    10.2880
   2022      4     22   12.00      2664.00   0.10221E+02   0.00000E+00   0.10221E+02   0.10355E+02   0.10417E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.64934E+02   0.11156E+03  -0.15050E+03  -0.78749E+02   0.82535E-02   0.17553E-03   0.25106E-01       0.20     230.56     0.0000  0.00   0.88051E+00  -0.30826E+01    10.3354    10.3628    10.3711    10.3783    10.4112
   2022      4     23   12.00      2688.00   0.10532E+02   0.00000E+00   0.10532E+02   0.10640E+02   0.10699E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.57366E+02   0.91988E+02  -0.11763E+03  -0.61118E+02   0.66039E-02   0.93622E-04   0.11018E-01       0.19     189.15     0.0000  0.00   0.56608E+00   0.19574E+01    10.6235    10.6475    10.6540    10.6585    10.6974
   2022      4     24   12.00      2712.00   0.10709E+02   0.00000E+00   0.10709E+02   0.10780E+02   0.10830E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.15511E+02   0.33564E+02  -0.86183E+02  -0.40036E+02   0.22688E-02   0.17921E-04   0.11692E-02       0.19     132.57     0.0000  0.00   0.59136E-01   0.13892E+01    10.7700    10.7849    10.7884    10.7921    10.8303
   2022      4     25   12.00      2736.00   0.10636E+02   0.00000E+00   0.10636E+02   0.10716E+02   0.10765E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.78581E+01   0.30389E+02  -0.93517E+02  -0.36205E+02   0.18734E-02   0.85916E-05   0.33301E-03       0.19     114.52     0.0000  0.00   0.76853E-02  -0.21830E+00    10.7049    10.7216    10.7253    10.7290    10.7647
   2022      4     26   12.00      2760.00   0.10507E+02   0.00000E+00   0.10507E+02   0.10590E+02   0.10653E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.11522E+02   0.38021E+02  -0.11103E+03  -0.56431E+02   0.24711E-02   0.12202E-04   0.37331E-03       0.19     164.31     0.0000  0.00   0.62342E-01  -0.55086E+00    10.5762    10.5952    10.5994    10.6042    10.6533
   2022      4     27   12.00      2784.00   0.10859E+02   0.00000E+00   0.10859E+02   0.10959E+02   0.11039E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.23737E+02   0.54241E+02  -0.12462E+03  -0.75910E+02   0.34971E-02   0.19106E-04   0.10797E-02       0.19     225.04     0.0000  0.00  -0.43760E-01  -0.42389E+01    10.9404    10.9668    10.9718    10.9778    11.0387
   2022      4     28   12.00      2808.00   0.11530E+02   0.00000E+00   0.11530E+02   0.11601E+02   0.11669E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.18568E+02   0.38819E+02  -0.10967E+03  -0.70461E+02   0.25149E-02   0.16647E-04   0.15813E-02       0.19     221.15     0.0000  0.00   0.77702E-01   0.15593E+01    11.5905    11.6048    11.6088    11.6141    11.6688
   2022      4     29   12.00      2832.00   0.11718E+02   0.00000E+00   0.11718E+02   0.11859E+02   0.11910E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.66544E+02   0.12543E+03  -0.13667E+03  -0.62575E+02   0.96877E-02   0.37291E-03   0.62470E-01       0.19     190.01     0.0000  0.00   0.11478E+01   0.13774E+02    11.8437    11.8663    11.8727    11.8789    11.9012
   2022      4     30   12.00      2856.00   0.11723E+02   0.00000E+00   0.11723E+02   0.11885E+02   0.11943E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.86930E+02   0.14227E+03  -0.13033E+03  -0.64660E+02   0.12956E-01   0.58183E-03   0.16298E+00       0.19     192.48     0.0000  0.00   0.21745E+01   0.10606E+02    11.8680    11.8930    11.9005    11.9070    11.9323
   2022      5      1   12.00      2880.00   0.11995E+02   0.00000E+00   0.11995E+02   0.12136E+02   0.12208E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.80766E+02   0.13408E+03  -0.13878E+03  -0.76154E+02   0.93150E-02   0.24893E-03   0.51183E-01       0.19     228.42     0.0000  0.00   0.11316E+01  -0.44682E+01    12.1053    12.1470    12.1642    12.1713    12.2027
   2022      5      2   12.00      2904.00   0.11912E+02   0.00000E+00   0.11912E+02   0.12553E+02   0.13162E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.56916E+02   0.11058E+03  -0.15898E+03  -0.83833E+02   0.67915E-02   0.46074E-04   0.14006E-01       0.19     264.49     0.0000  0.00   0.24752E+00  -0.15535E+02    12.0318    12.7228    13.1078    13.1157    13.1600
   2022      5      3   12.00      2928.00   0.12349E+02   0.00000E+00   0.12349E+02   0.12688E+02   0.12849E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.29673E+02   0.14140E+03  -0.23981E+03  -0.10583E+03   0.81090E-02   0.24482E-03   0.29543E-01       0.18     282.01     0.0000  0.00  -0.12637E+00  -0.23111E+02    12.5754    12.7363    12.7942    12.8044    12.8363
   2022      5      4   12.00      2952.00   0.11887E+02   0.00000E+00   0.11887E+02   0.12177E+02   0.12265E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.17814E+02   0.14658E+03  -0.26570E+03  -0.11309E+03   0.79799E-02   0.27924E-03   0.28620E-01       0.18     288.40     0.0000  0.00  -0.25593E+00  -0.21776E+02    12.1452    12.1942    12.2060    12.2164    12.2486
   2022      5      5   12.00      2976.00   0.11725E+02   0.00000E+00   0.11725E+02   0.11951E+02   0.12032E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.21052E+02   0.11194E+03  -0.21875E+03  -0.11081E+03   0.60262E-02   0.87940E-04   0.94414E-02       0.18     289.54     0.0000  0.00  -0.18363E+00  -0.12479E+02    11.9226    11.9661    11.9748    11.9851    12.0217
   2022      5      6   12.00      3000.00   0.11967E+02   0.00000E+00   0.11967E+02   0.12154E+02   0.12225E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.23291E+02   0.10436E+03  -0.18570E+03  -0.93829E+02   0.58199E-02   0.69858E-04   0.79887E-02       0.18     255.10     0.0000  0.00  -0.19562E+00  -0.11251E+02    12.1274    12.1662    12.1741    12.1832    12.2169
   2022      5      7   12.00      3024.00   0.11900E+02   0.00000E+00   0.11900E+02   0.12088E+02   0.12150E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.19680E+02   0.99511E+02  -0.15722E+03  -0.61431E+02   0.56897E-02   0.74139E-04   0.10888E-01       0.18     165.72     0.0000  0.00   0.30141E+00  -0.47015E+01    12.0623    12.1007    12.1078    12.1141    12.1446
   2022      5      8   12.00      3048.00   0.11252E+02   0.00000E+00   0.11252E+02   0.11437E+02   0.11490E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.27852E+02   0.97777E+02  -0.12860E+03  -0.39999E+02   0.68290E-02   0.17304E-03   0.24626E-01       0.18      95.77     0.0000  0.00   0.67835E-01   0.10330E+02    11.4149    11.4491    11.4560    11.4608    11.4860
   2022      5      9   12.00      3072.00   0.10760E+02   0.00000E+00   0.10760E+02   0.10900E+02   0.10949E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.46023E+02   0.10645E+03  -0.11689E+03  -0.48487E+02   0.87892E-02   0.29937E-03   0.41463E-01       0.18     115.59     0.0000  0.00  -0.85209E+00   0.14467E+01    10.8828    10.9078    10.9149    10.9206    10.9426
   2022      5     10   12.00      3096.00   0.10729E+02   0.00000E+00   0.10729E+02   0.10842E+02   0.10896E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.43429E+02   0.95294E+02  -0.11005E+03  -0.58617E+02   0.67607E-02   0.16770E-03   0.18965E-01       0.18     151.18     0.0000  0.00  -0.56230E-01  -0.14095E+02    10.8255    10.8494    10.8558    10.8611    10.8935
   2022      5     11   12.00      3120.00   0.10867E+02   0.00000E+00   0.10867E+02   0.10967E+02   0.11020E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.45147E+02   0.90109E+02  -0.10355E+03  -0.57039E+02   0.65813E-02   0.12578E-03   0.12220E-01       0.18     152.43     0.0000  0.00   0.25953E+00  -0.11806E+02    10.9520    10.9731    10.9795    10.9838    11.0193
   2022      5     12   12.00      3144.00   0.11021E+02   0.00000E+00   0.11021E+02   0.11148E+02   0.11195E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.53095E+02   0.10317E+03  -0.11667E+03  -0.63020E+02   0.88240E-02   0.36424E-03   0.43002E-01       0.18     170.67     0.0000  0.00  -0.29590E+00  -0.26245E+02    11.1359    11.1537    11.1593    11.1658    11.1885
   2022      5     13   12.00      3168.00   0.11172E+02   0.00000E+00   0.11172E+02   0.11322E+02   0.11383E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.50392E+02   0.12694E+03  -0.16638E+03  -0.89621E+02   0.93267E-02   0.45840E-03   0.50377E-01       0.18     237.82     0.0000  0.00  -0.34177E+00  -0.29064E+02    11.3041    11.3294    11.3370    11.3458    11.3724
   2022      5     14   12.00      3192.00   0.11451E+02   0.00000E+00   0.11451E+02   0.11618E+02   0.11685E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.41979E+02   0.12690E+03  -0.18710E+03  -0.10243E+03   0.73430E-02   0.19749E-03   0.20560E-01       0.17     273.45     0.0000  0.00   0.36123E-01  -0.18764E+02    11.5953    11.6272    11.6363    11.6451    11.6767
   2022      5     15   12.00      3216.00   0.11782E+02   0.00000E+00   0.11782E+02   0.11934E+02   0.11997E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.40093E+02   0.10836E+03  -0.16228E+03  -0.89861E+02   0.65013E-02   0.82853E-04   0.10703E-01       0.17     246.10     0.0000  0.00   0.36830E+00  -0.10386E+02    11.9127    11.9442    11.9516    11.9593    11.9912
   2022      5     16   12.00      3240.00   0.12137E+02   0.00000E+00   0.12137E+02   0.12277E+02   0.12335E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.40172E+02   0.10411E+03  -0.15596E+03  -0.85481E+02   0.65980E-02   0.12222E-03   0.13661E-01       0.17     238.15     0.0000  0.00   0.13528E+00  -0.13433E+02    12.2575    12.2852    12.2925    12.3000    12.3292
   2022      5     17   12.00      3264.00   0.12331E+02   0.00000E+00   0.12331E+02   0.12539E+02   0.12604E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.46661E+02   0.13025E+03  -0.19074E+03  -0.10242E+03   0.82220E-02   0.29471E-03   0.31240E-01       0.17     279.25     0.0000  0.00  -0.27571E+00  -0.22818E+02    12.5198    12.5482    12.5569    12.5662    12.5956
   2022      5     18   12.00      3288.00   0.12906E+02   0.00000E+00   0.12906E+02   0.13062E+02   0.13134E+02   0.00000E+00   0.00000E+00   0.35177E+01  -0.45277E+02   0.11322E+03  -0.18411E+03  -0.11571E+03   0.61696E-02   0.99698E-04   0.10676E-01       0.17     324.04     0.0000  0.00  -0.24120E+00  -0.12652E+02    13.0429    13.0708    13.0781    13.0875    13.1254
