Reservoir,Point,Depth,Type,d13CO2,UC_CO2_ppm,d13CH4,UC_CH4_ppm,Num,Samp,CH4_area,CO2_area,CO2,CH4,maxD,newdepth,H_vol,CH4_undil,CO2_undil,CH4_atm,CO2_atm,CH4_Ca,CO2_Ca,CH4_Ch,CO2_Ch,CH4_tot,CO2_tot,Method,DIC,DIC_CH4,DIC_diff,DIC_corr,pH,DO,Conductivity,Temperature,Pressure
Cascavel R3,E,25,Water,-26.52980505,5882.278838,-63.61315236,51.8163764,46,Gas,62817,3436576,365.6500887,7.859813634,85,25,4.9,102.1775772,4753.451153,0.001021776,0.047534512,0.014259487,15.939637,0.288397636,13.41668216,0.302657124,29.35631915,Evac,50.92007021,0.038997152,21.56375106,86.41628808,4.87,30.1,8.9,26.1,728.1
Cascavel R3,E,50,Water,-26.43680243,7984.908258,-64.71417523,44.91195718,47,Gas,53859,4210957,494.8385126,6.394414602,85,50,4.9,83.12738982,6432.900664,0.000831274,0.064329007,0.011600921,21.57129591,0.234628217,18.15695181,0.246229137,39.72824772,Evac,60.04214004,0.042346912,20.31389231,100.0901379,4.82,29.8,8.7,25.9,728.1
Cascavel R3,E,75,Water,-26.39721241,7886.042102,-65.37837173,51.23481169,48,Gas,56337,4360846,519.8441928,6.799779505,85,75,4.9,88.39713357,6757.974507,0.000883971,0.067579745,0.012336345,22.66135845,0.249502142,19.07447727,0.261838487,41.73583572,Evac,61.73253009,0.043649223,19.99669437,102.624008,5.01,29.3,9.9,25.6,728.1
Cascavel R3,E,85,Water,-26.38966591,8312.945336,-65.40385178,52.11650532,49,Gas,89914,4176697,489.1229857,12.2924903,85,85,4.9,159.8023739,6358.598814,0.001598024,0.063585988,0.02230137,21.32214125,0.451044428,17.94723381,0.473345798,39.26937506,Evac,60.70022192,0.081590789,21.43084686,101.0765931,5.24,26.1,13.7,25.6,728.1
Cascavel R3,F,5,Sediment,-24.89514358,10778.80791,-73.78111895,539.36969,50,Gas,653845,4333640,515.3054706,121.9016019,60,65,4.9,1584.720825,6698.971118,0.015847208,0.066989711,0.221157197,22.46350376,4.472896624,18.90793938,4.694053821,41.37144314,Evac,75.01048605,0.77937458,33.63904291,122.5274706,,,,,
Cascavel R3,F,40,Sediment,-25.06518512,20561.93807,-89.46885929,99.85133602,51,Gas,174686,7714663,1089.406657,26.15996148,60,100,4.9,340.0794992,14162.28654,0.003400795,0.141622865,0.047460113,47.49006549,0.959879128,39.97325123,1.007339241,87.46331672,Evac,117.4782009,0.209015912,30.01488415,186.1859568,,,,,
Cascavel R3,F,60,Sediment,-25.11611565,20370.37627,-77.31386618,58.6333532,52,Gas,79236,7958541,1130.882458,10.54572419,60,120,4.9,137.0944144,14701.47195,0.001370944,0.14701472,0.019132339,49.29810336,0.386950896,41.49510957,0.406083235,90.79321293,Evac,119.2349255,0.082604443,28.44171258,188.8192615,,,,,
Cascavel R3,F,70,Sediment,-25.01104381,20889.9062,-81.82124229,7.053341321,53,Gas,22566,7681599,1083.783535,1.275333119,60,130,4.9,16.57933054,14089.18595,0.000165793,0.14089186,0.002313744,47.24493897,0.046795392,39.76692379,0.049109136,87.01186276,Evac,111.3854662,-0.00021316,24.37360347,177.0530363,,,,,
Cascavel R3,F,80,Sediment,-24.84077872,18868.70002,-74.4046969,2.291988029,54,Gas,17013,7680105,1083.529453,0.366942761,60,140,4.9,4.770255887,14085.88289,4.77E-05,0.140858829,0.000665718,47.23386291,0.013464114,39.75760086,0.014129831,86.99146377,Evac,115.5196493,0.034512905,28.52818551,183.2501165,,,,,
Cascavel R3,F,80,Sediment,,,,,59,Gas,18195,7651193,1078.612452,0.560300838,60,140,4.9,7.283910892,14021.96188,7.28E-05,0.140219619,0.001016513,47.01951807,0.02055894,39.57718291,0.021575453,86.59670098,Evac,110.503521,-0.002495562,23.90682006,175.7310133,,,,,
