   2019      4      7   12.00      6720.00  -0.51224E+01   0.00000E+00  -0.17963E-10   0.13873E+01   0.35391E+01   0.00000E+00   0.87401E-05  -0.51224E+01  -0.10755E+02  -0.58332E+01  -0.20781E+02  -0.19378E+01   0.59047E-02   0.00000E+00   0.98813-323       0.85     187.86     0.0000  0.00   0.18280-321  -0.17604-319     0.3571     1.0823     2.0518     2.9187     3.5391
   2019      4      8   12.00      6744.00  -0.32813E+01   0.00000E+00  -0.17485E-10   0.13835E+01   0.35322E+01   0.00000E+00   0.99488E-05  -0.32813E+01  -0.21754E+02   0.16030E+01  -0.17219E+02  -0.19429E+01   0.68643E-02   0.00000E+00   0.98813-323       0.85     177.43     0.0000  0.00   0.18280-321  -0.17604-319     0.3553     1.0791     2.0467     2.9119     3.5322
   2019      4      9   12.00      6768.00  -0.18022E+01   0.00000E+00  -0.15376E-10   0.13761E+01   0.35234E+01   0.00000E+00   0.99483E-05  -0.18016E+01  -0.20746E+02   0.11729E+01  -0.17797E+02  -0.19591E+01   0.61859E-02   0.00000E+00   0.98813-323       0.85     156.71     0.0000  0.00   0.18280-321  -0.17604-319     0.3509     1.0719     2.0374     2.9011     3.5234
   2019      4     10   12.00      6792.00   0.13501E+00   0.00000E+00  -0.13670E-10   0.13693E+01   0.35147E+01   0.00000E+00   0.99435E-05   0.13501E+00  -0.21729E+02   0.56994E+01  -0.21341E+02  -0.19641E+01   0.82054E-02   0.00000E+00   0.98813-323       0.85     137.60     0.0000  0.00   0.18280-321  -0.17604-319     0.3475     1.0648     2.0282     2.8913     3.5147
   2019      4     11   12.00      6816.00   0.98890E+00   0.00000E+00  -0.12150E-10   0.13624E+01   0.35060E+01   0.00000E+00   0.99368E-05   0.98890E+00  -0.25555E+02   0.94650E+01  -0.21280E+02  -0.19722E+01   0.12046E-01   0.00000E+00   0.98813-323       0.85     139.44     0.0000  0.00   0.18280-321  -0.17604-319     0.3442     1.0576     2.0189     2.8814     3.5060
   2019      4     12   12.00      6840.00   0.81965E+00   0.00000E+00  -0.77107E-11   0.13462E+01   0.34919E+01   0.00000E+00   0.99288E-05   0.81941E+00  -0.32727E+02   0.66964E+01  -0.11340E+02  -0.20253E+01   0.13421E-01   0.00000E+00   0.98813-323       0.85     167.28     0.0000  0.00   0.18280-321  -0.17604-319     0.3340     1.0405     1.9987     2.8606     3.4919
   2019      4     13   12.00      6864.00   0.23681E+00   0.00000E+00  -0.37555E-11   0.13277E+01   0.34761E+01   0.00000E+00   0.99152E-05   0.23681E+00  -0.34505E+02   0.32082E+01  -0.60733E+01  -0.20573E+01   0.10579E-01   0.00000E+00   0.98813-323       0.85     186.37     0.0000  0.00   0.18280-321  -0.17604-319     0.3235     1.0200     1.9747     2.8378     3.4761
   2019      4     14   12.00      6888.00   0.19533E+00   0.00000E+00  -0.19182E-11   0.13135E+01   0.34624E+01   0.00000E+00   0.98586E-05   0.19533E+00  -0.27197E+02   0.75262E+00  -0.10926E+02  -0.20655E+01   0.82419E-02   0.00000E+00   0.98813-323       0.85     168.30     0.0000  0.00   0.18280-321  -0.17604-319     0.3170     1.0038     1.9548     2.8203     3.4624
   2019      4     15   12.00      6912.00  -0.84787E-01   0.00000E+00  -0.96534E-12   0.13011E+01   0.34496E+01   0.00000E+00   0.96422E-05  -0.84743E-01  -0.28954E+02   0.34407E+01  -0.11857E+02  -0.20717E+01   0.82289E-02   0.00000E+00   0.98813-323       0.85     161.48     0.0000  0.00   0.18280-321  -0.17604-319     0.3119     0.9898     1.9370     2.8047     3.4496
   2019      4     16   12.00      6936.00  -0.15309E+01   0.00000E+00  -0.77547E-12   0.12927E+01   0.34390E+01   0.00000E+00   0.10596E-04  -0.15309E+01  -0.39425E+02   0.60365E+01  -0.39815E+01  -0.20624E+01   0.79156E-02   0.00000E+00   0.98813-323       0.85     186.92     0.0000  0.00   0.18280-321  -0.17604-319     0.3095     0.9803     1.9238     2.7936     3.4390
   2019      4     17   12.00      6960.00  -0.31212E+01   0.00000E+00  -0.95405E-12   0.12874E+01   0.34302E+01   0.00000E+00   0.11165E-04  -0.31212E+01  -0.40610E+02  -0.27830E+01   0.60234E+01  -0.20515E+01   0.61077E-02   0.00000E+00   0.98813-323       0.85     222.85     0.0000  0.00   0.18280-321  -0.17604-319     0.3089     0.9746     1.9146     2.7857     3.4302
   2019      4     18   12.00      6984.00  -0.29528E+01   0.00000E+00  -0.10476E-11   0.12819E+01   0.34213E+01   0.00000E+00   0.94682E-05  -0.29528E+01  -0.45541E+02  -0.41294E+01   0.12300E+02  -0.20494E+01   0.71243E-02   0.00000E+00   0.98813-323       0.85     230.09     0.0000  0.00   0.18280-321  -0.17604-319     0.3078     0.9691     1.9057     2.7771     3.4213
   2019      4     19   12.00      7008.00  -0.14024E+01   0.00000E+00  -0.11340E-11   0.12770E+01   0.34132E+01   0.00000E+00   0.13708E-04  -0.14022E+01  -0.49781E+02   0.39724E+01   0.84382E+01  -0.20483E+01   0.83710E-02   0.00000E+00   0.98813-323       0.85     218.58     0.0000  0.00   0.18280-321  -0.17604-319     0.3069     0.9644     1.8977     2.7691     3.4132
   2019      4     20   12.00      7032.00  -0.14683E+01   0.00000E+00  -0.16661E-11   0.12783E+01   0.34121E+01   0.00000E+00   0.29653E-04  -0.14683E+01  -0.21208E+02   0.39096E+00  -0.16553E+02  -0.20330E+01   0.34393E-02   0.00000E+00   0.98813-323       0.85     183.51     0.0000  0.00   0.18280-321  -0.17604-319     0.3105     0.9661     1.8966     2.7689     3.4121
   2019      4     21   12.00      7056.00  -0.15500E+01   0.00000E+00  -0.23225E-11   0.12809E+01   0.34090E+01   0.00000E+00   0.24124E-04  -0.15500E+01  -0.49488E+01   0.11608E+01  -0.33582E+02  -0.20095E+01   0.15242E-02   0.00000E+00   0.98813-323       0.85     131.80     0.0000  0.00   0.18280-321  -0.17604-319     0.3141     0.9699     1.8981     2.7697     3.4090
   2019      4     22   12.00      7080.00  -0.13984E+01   0.00000E+00  -0.28894E-11   0.12825E+01   0.34047E+01   0.00000E+00   0.21719E-04  -0.13984E+01  -0.10259E+02   0.22623E+01  -0.29373E+02  -0.19959E+01   0.43028E-02   0.00000E+00   0.98813-323       0.85     116.30     0.0000  0.00   0.18280-321  -0.17604-319     0.3163     0.9729     1.8991     2.7689     3.4047
   2019      4     23   12.00      7104.00  -0.24754E+01   0.00000E+00  -0.33808E-11   0.12839E+01   0.34014E+01   0.00000E+00   0.24805E-04  -0.24754E+01  -0.95919E+01  -0.24532E+01  -0.25325E+02  -0.19915E+01   0.27036E-02   0.00000E+00   0.98813-323       0.85     164.32     0.0000  0.00   0.18280-321  -0.17604-319     0.3182     0.9756     1.9000     2.7676     3.4014
   2019      4     24   12.00      7128.00  -0.13669E+01   0.00000E+00  -0.38086E-11   0.12853E+01   0.33994E+01   0.00000E+00   0.32534E-04  -0.13669E+01  -0.23697E+02  -0.74487E+01  -0.62247E+01  -0.19894E+01   0.46833E-02   0.00000E+00   0.98813-323       0.85     217.59     0.0000  0.00   0.18280-321  -0.17604-319     0.3201     0.9784     1.9010     2.7667     3.3994
   2019      4     25   12.00      7152.00  -0.13665E+01   0.00000E+00  -0.39526E-11   0.12849E+01   0.33957E+01   0.00000E+00   0.33169E-04  -0.13665E+01  -0.18992E+02  -0.33127E+01  -0.15065E+02  -0.19938E+01   0.35400E-02   0.00000E+00   0.98813-323       0.85     209.89     0.0000  0.00   0.18280-321  -0.17604-319     0.3205     0.9793     1.9000     2.7636     3.3957
   2019      4     26   12.00      7176.00   0.10199E+01   0.00000E+00  -0.24803E-11   0.12724E+01   0.33872E+01   0.00000E+00   0.54868E-04   0.10199E+01  -0.43601E+02   0.10073E+02  -0.38420E+01  -0.20801E+01   0.10178E-01   0.00000E+00   0.98813-323       0.85     182.09     0.0000  0.00   0.18280-321  -0.17604-319     0.3123     0.9674     1.8846     2.7456     3.3872
   2019      4     27   12.00      7200.00   0.15549E+01   0.00000E+00  -0.74014E-12   0.12568E+01   0.33928E+01   0.00000E+00   0.16078E-03   0.15549E+01  -0.61356E+02   0.25478E+02  -0.14919E+01  -0.22423E+01   0.12714E-01   0.00000E+00   0.98813-323       0.85     183.62     0.0000  0.00   0.18280-321  -0.17604-319     0.3052     0.9503     1.8619     2.7260     3.3928
   2019      4     28   12.00      7224.00   0.10289E+01   0.00000E+00  -0.17833E-13   0.12623E+01   0.34778E+01   0.00000E+00   0.59265E-03   0.10289E+01  -0.60362E+02   0.20592E+02   0.24003E+01  -0.27066E+01   0.92135E-02   0.00000E+00   0.98813-323       0.85     214.05     0.0000  0.00   0.18280-321  -0.17604-319     0.3214     0.9520     1.8536     2.7374     3.4778
   2019      4     29   12.00      7248.00  -0.35589E+01   0.00000E+00  -0.55546E-13   0.13449E+01   0.38215E+01   0.00000E+00  -0.40572E+00  -0.35579E+01  -0.26056E+02  -0.84439E+00  -0.10469E+02  -0.39673E+01   0.35419E-02   0.00000E+00   0.98813-323       0.85     249.74     0.0000  0.00   0.18280-321  -0.17604-319     0.4153     1.0263     1.9045     2.8616     3.8215
   2019      4     30   12.00      7272.00  -0.23836E+01   0.00000E+00  -0.24778E-12   0.15095E+01   0.41473E+01   0.00000E+00  -0.93205E-01  -0.23836E+01  -0.51669E+02  -0.31236E+01   0.17423E+02  -0.60506E+01   0.95146E-02   0.00000E+00   0.98813-323       0.85     269.10     0.0000  0.00   0.18280-321  -0.17604-319     0.5688     1.1847     2.0281     3.1348     4.1473
   2019      5      1   12.00      7296.00  -0.41789E+01   0.00000E+00  -0.36864E-12   0.16754E+01   0.41655E+01   0.00000E+00  -0.40735E+00  -0.41789E+01  -0.54344E+02  -0.10567E+01   0.18031E+02  -0.81312E+01   0.97799E-02   0.00000E+00   0.98813-323       0.85     272.62     0.0000  0.00   0.18280-321  -0.17604-319     0.6867     1.3444     2.1621     3.4678     4.1655
   2019      5      2   12.00      7320.00  -0.35128E+01   0.00000E+00  -0.47379E-12   0.18356E+01   0.41556E+01   0.00000E+00  -0.44850E+00  -0.35128E+01  -0.43855E+02  -0.76597E+01   0.14145E+02  -0.86007E+01   0.77926E-02   0.00000E+00   0.98813-323       0.85     273.61     0.0000  0.00   0.18280-321  -0.17604-319     0.7790     1.4949     2.3310     3.7705     4.1556
   2019      5      3   12.00      7344.00  -0.17868E+01   0.00000E+00  -0.54338E-12   0.19788E+01   0.41417E+01   0.00000E+00  -0.99878E-01  -0.17868E+01  -0.31131E+02  -0.55227E+01  -0.71628E+00  -0.80487E+01   0.77283E-02   0.00000E+00   0.98813-323       0.85     246.27     0.0000  0.00   0.18280-321  -0.17604-319     0.8448     1.6282     2.5748     3.9673     4.1417
   2019      5      4   12.00      7368.00  -0.89218E+00   0.00000E+00  -0.58940E-12   0.20672E+01   0.41196E+01   0.00000E+00   0.42912E-03  -0.89218E+00  -0.20152E+02   0.55029E+01  -0.22721E+02  -0.55583E+01   0.88439E-02   0.00000E+00   0.98813-323       0.85     162.97     0.0000  0.00   0.18280-321  -0.17604-319     0.8568     1.7168     2.8201     4.0151     4.1196
   2019      5      5   12.00      7392.00   0.15740E-01   0.00000E+00  -0.63929E-12   0.20840E+01   0.41007E+01   0.00000E+00   0.10123E-02   0.15740E-01  -0.12202E+02   0.61404E+01  -0.31309E+02  -0.34081E+01   0.11772E-01   0.00000E+00   0.98813-323       0.85      95.06     0.0000  0.00   0.18280-321  -0.17604-319     0.8129     1.7484     2.9257     3.9806     4.1007
   2019      5      6   12.00      7416.00   0.25249E+00   0.00000E+00  -0.41529E-12   0.21699E+01   0.41776E+01   0.00000E+00   0.98784E-02   0.53960E+00  -0.18273E+02  -0.23767E+00  -0.18859E+02  -0.14678E+02   0.10722E-01   0.00000E+00   0.98813-323       0.58     113.59     0.0000  0.00   0.21245-321  -0.16981-319     0.8573     1.8229     3.1149     4.0421     4.1776
   2019      5      7   12.00      7440.00   0.15107E-01   0.00000E+00  -0.37379E-13   0.27091E+01   0.42664E+01   0.00000E+00   0.15107E-01   0.50088E+00  -0.27324E+02   0.70157E+01  -0.17062E+02  -0.27822E+02   0.99440E-02   0.00000E+00   0.98813-323       0.40     147.05     0.0000  0.00   0.69169-321  -0.49209-320     1.2770     2.3675     4.0032     4.1604     4.2664
   2019      5      8   12.00      7464.00   0.22789E-01   0.00000E+00   0.00000E+00   0.32964E+01   0.42706E+01   0.00000E+00   0.22789E-01   0.50088E+00  -0.27026E+02  -0.45670E+01  -0.57771E+01  -0.28580E+02   0.83480E-02   0.00000E+00   0.98813-323       0.40     146.11     0.0000  0.00   0.32608-321   0.67539-320     1.7598     3.7853     4.1595     4.1738     4.2706
   2019      5      9   12.00      7488.00   0.29090E-01   0.00000E+00  -0.15873E-14   0.38517E+01   0.43365E+01   0.00000E+00   0.29090E-01   0.50088E+00  -0.30978E+02  -0.14732E+02   0.83405E+01  -0.33279E+02   0.96832E-02   0.00000E+00   0.98813-323       0.40     170.34     0.0000  0.00   0.10375-321   0.34338-320     3.0960     4.2237     4.2319     4.2436     4.3365
   2019      5     10   12.00      7512.00  -0.21800E+00   0.00000E+00  -0.21356E-11   0.42510E+01   0.45039E+01   0.00000E+00  -0.21800E+00   0.50088E+00  -0.33980E+02   0.96461E+01  -0.13036E+02  -0.48615E+02   0.10763E-01   0.00000E+00   0.49407-323       0.40     243.43     0.0000  0.00   0.19763-322   0.11462-320     4.0000     4.3704     4.3836     4.3987     4.5039
   2019      5     11   12.00      7536.00  -0.86586E+00   0.00000E+00  -0.51009E-11   0.42616E+01   0.45041E+01   0.00000E+00  -0.86586E+00   0.50088E+00  -0.39486E+02   0.20050E+02  -0.17934E+02  -0.58509E+02   0.93002E-02   0.00000E+00   0.00000E+00       0.40     275.14     0.0000  0.00   0.00000E+00   0.00000E+00     4.0825     4.3374     4.3580     4.3788     4.5041
   2019      5     12   12.00      7560.00  -0.22058E+00   0.00000E+00  -0.45509E-11   0.42063E+01   0.44462E+01   0.00000E+00  -0.22058E+00   0.50088E+00  -0.32705E+02   0.48299E+01  -0.94944E+01  -0.53160E+02   0.79434E-02   0.00000E+00   0.00000E+00       0.40     237.65     0.0000  0.00   0.00000E+00   0.00000E+00     4.0286     4.2812     4.3020     4.3227     4.4462
   2019      5     13   12.00      7584.00   0.12985E-01   0.00000E+00  -0.36235E-11   0.41318E+01   0.43814E+01   0.00000E+00   0.12985E-01   0.50088E+00  -0.29922E+02  -0.48683E+01  -0.25792E+01  -0.51832E+02   0.69697E-02   0.00000E+00   0.00000E+00       0.40     223.88     0.0000  0.00   0.00000E+00   0.00000E+00     3.9552     4.2048     4.2269     4.2492     4.3814
   2019      5     14   12.00      7608.00  -0.64754E-01   0.00000E+00  -0.39032E-11   0.42218E+01   0.44769E+01   0.00000E+00  -0.64754E-01   0.50088E+00  -0.45008E+02   0.32089E+01   0.44294E+01  -0.62329E+02   0.10280E-01   0.00000E+00   0.00000E+00       0.40     266.68     0.0000  0.00   0.00000E+00   0.00000E+00     4.0433     4.2963     4.3176     4.3401     4.4769
   2019      5     15   12.00      7632.00  -0.61155E-01   0.00000E+00  -0.55206E-11   0.37826E+01   0.45327E+01   0.00000E+00  -0.61155E-01   0.50088E+00  -0.51292E+02   0.15859E+01   0.12336E+02  -0.78501E+02   0.77574E-02   0.48451E-06   0.99070E-03       0.40     311.95     0.0000  0.00  -0.11573E-01   0.25462E+00     2.6823     4.2646     4.3397     4.3713     4.5327
   2019      5     16   12.00      7656.00  -0.16971E+00   0.00000E+00   0.13380E+00   0.32909E+01   0.45437E+01   0.00000E+00  -0.30351E+00   0.50088E+00  -0.19058E+02  -0.42561E+01  -0.14641E+02  -0.86551E+02   0.19470E-02   0.39497E-06   0.43392E-03       0.37     314.06     0.0000  0.00   0.27592E-02   0.50643E-01     1.2895     4.0484     4.3506     4.3796     4.5437
   2019      5     17   12.00      7680.00   0.56733E+01   0.00000E+00   0.56733E+01   0.55993E+01   0.57743E+01   0.00000E+00   0.00000E+00   0.50088E+00  -0.34248E+02   0.15408E+02  -0.35554E+02  -0.88633E+02   0.51317E-02   0.70156E-04   0.57081E-02       0.17     294.13     0.0000  0.00   0.58010E-01  -0.19895E+01     5.5985     5.5758     5.6012     5.6275     5.7505
   2019      5     18   12.00      7704.00   0.86575E+01   0.00000E+00   0.86575E+01   0.86756E+01   0.87395E+01   0.00000E+00   0.00000E+00   0.50088E+00  -0.27628E+02   0.53015E+02  -0.82171E+02  -0.70092E+02   0.60247E-02   0.20293E-03   0.11363E-01       0.17     285.19     0.0000  0.00   0.28476E-01  -0.35534E+01     8.6714     8.6722     8.6759     8.6840     8.7375
   2019      5     19   12.00      7728.00   0.10797E+02   0.00000E+00   0.10797E+02   0.10850E+02   0.10919E+02   0.00000E+00   0.00000E+00   0.50088E+00  -0.15602E+02   0.58564E+02  -0.10155E+03  -0.68155E+02   0.51257E-02   0.81670E-04   0.55441E-02       0.17     288.43     0.0000  0.00   0.55461E-01  -0.18023E+01    10.8377    10.8487    10.8559    10.8650    10.9185
   2019      5     20   12.00      7752.00   0.12860E+02   0.00000E+00   0.12860E+02   0.12903E+02   0.12966E+02   0.00000E+00   0.00000E+00   0.50088E+00  -0.82603E+00   0.38091E+02  -0.10079E+03  -0.63027E+02   0.28616E-02   0.24513E-04   0.12858E-02       0.17     285.31     0.0000  0.00   0.90854E-02   0.14255E+00    12.8925    12.9023    12.9072    12.9158    12.9660
   2019      5     21   12.00      7776.00   0.14142E+02   0.00000E+00   0.14142E+02   0.14277E+02   0.14344E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.14929E+02   0.63419E+02  -0.15212E+03  -0.67305E+02   0.41715E-02   0.55039E-04   0.24829E-02       0.17     281.90     0.0000  0.00  -0.10126E-01   0.13830E+01    14.2470    14.2825    14.2934    14.3037    14.3415
   2019      5     22   12.00      7800.00   0.14597E+02   0.00000E+00   0.14597E+02   0.14822E+02   0.14909E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.28670E+02   0.81758E+02  -0.19588E+03  -0.81623E+02   0.50971E-02   0.97308E-04   0.54762E-02       0.17     302.06     0.0000  0.00   0.58333E-01   0.21737E+01    14.7784    14.8305    14.8450    14.8579    14.9006
   2019      5     23   12.00      7824.00   0.15103E+02   0.00000E+00   0.15103E+02   0.15364E+02   0.15455E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.33299E+02   0.85147E+02  -0.21341E+03  -0.90841E+02   0.45593E-02   0.79962E-04   0.37343E-02       0.17     322.89     0.0000  0.00   0.42185E-02   0.19963E+01    15.3173    15.3741    15.3888    15.4024    15.4476
   2019      5     24   12.00      7848.00   0.14833E+02   0.00000E+00   0.14833E+02   0.15298E+02   0.15722E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.50647E+02   0.10588E+03  -0.24659E+03  -0.85385E+02   0.57900E-02   0.88794E-04   0.77595E-02       0.17     287.69     0.0000  0.00  -0.90872E-01   0.20686E+01    15.1063    15.1776    15.4864    15.6625    15.7096
   2019      5     25   12.00      7872.00   0.13628E+02   0.00000E+00   0.13628E+02   0.14158E+02   0.14456E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.59515E+02   0.11179E+03  -0.24961E+03  -0.84580E+02   0.69783E-02   0.13987E-03   0.15831E-01       0.17     244.22     0.0000  0.00  -0.16326E+00   0.19177E+01    14.0043    14.0965    14.2991    14.3948    14.4423
   2019      5     26   12.00      7896.00   0.13596E+02   0.00000E+00   0.13596E+02   0.13766E+02   0.13900E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.27907E+02   0.56617E+02  -0.15786E+03  -0.79401E+02   0.29369E-02   0.35613E-04   0.21777E-02       0.17     247.95     0.0000  0.00  -0.23696E-01   0.44130E+00    13.7100    13.7423    13.8150    13.8530    13.8979
   2019      5     27   12.00      7920.00   0.14582E+02   0.00000E+00   0.14582E+02   0.14695E+02   0.14761E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.21652E+02   0.56615E+02  -0.14708E+03  -0.76307E+02   0.34540E-02   0.38394E-04   0.82125E-03       0.16     264.25     0.0000  0.00   0.38432E-01   0.31018E+00    14.6682    14.6984    14.7081    14.7187    14.7601
   2019      5     28   12.00      7944.00   0.15628E+02   0.00000E+00   0.15628E+02   0.15767E+02   0.15835E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.18988E+02   0.60627E+02  -0.14668E+03  -0.72527E+02   0.39095E-02   0.52895E-04   0.18482E-02       0.16     266.67     0.0000  0.00   0.65438E-03   0.14349E+01    15.7378    15.7722    15.7827    15.7930    15.8323
   2019      5     29   12.00      7968.00   0.16764E+02   0.00000E+00   0.16764E+02   0.16863E+02   0.16925E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.14154E+02   0.56898E+02  -0.14838E+03  -0.75083E+02   0.29558E-02   0.35620E-04   0.92589E-03       0.16     284.44     0.0000  0.00   0.17707E-01   0.25955E+00    16.8415    16.8657    16.8738    16.8833    16.9227
   2019      5     30   12.00      7992.00   0.17765E+02   0.00000E+00   0.17765E+02   0.17908E+02   0.17981E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.13483E+02   0.79308E+02  -0.18291E+03  -0.85594E+02   0.33095E-02   0.41237E-04   0.14639E-02       0.16     315.31     0.0000  0.00  -0.23375E-02  -0.61771E+00    17.8793    17.9126    17.9235    17.9348    17.9766
   2019      5     31   12.00      8016.00   0.17627E+02   0.00000E+00   0.17627E+02   0.18172E+02   0.18366E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.16037E+02   0.15424E+03  -0.26347E+03  -0.97916E+02   0.66916E-02   0.11940E-03   0.15418E-01       0.16     325.18     0.0000  0.00  -0.15492E+00  -0.16575E+01    18.0498    18.1616    18.2672    18.2994    18.3504
   2019      6      1   12.00      8040.00   0.17964E+02   0.00000E+00   0.17964E+02   0.18254E+02   0.18428E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.11531E+02   0.10250E+03  -0.21236E+03  -0.95743E+02   0.40698E-02   0.52138E-04   0.45502E-02       0.16     318.14     0.0000  0.00  -0.35120E-02  -0.78767E+00    18.1678    18.2206    18.3327    18.3723    18.4204
   2019      6      2   12.00      8064.00   0.17734E+02   0.00000E+00   0.17734E+02   0.18179E+02   0.18468E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.15603E+02   0.13535E+03  -0.24611E+03  -0.93867E+02   0.65527E-02   0.10621E-03   0.12735E-01       0.16     299.31     0.0000  0.00   0.14608E+00  -0.15696E+01    18.0442    18.1251    18.2765    18.4042    18.4545
   2019      6      3   12.00      8088.00   0.18009E+02   0.00000E+00   0.18009E+02   0.18245E+02   0.18367E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.66918E+01   0.10075E+03  -0.19057E+03  -0.85828E+02   0.50139E-02   0.72454E-04   0.41802E-02       0.16     280.26     0.0000  0.00   0.82769E-01  -0.10657E+01    18.1887    18.2390    18.2854    18.3157    18.3594
   2019      6      4   12.00      8112.00   0.18923E+02   0.00000E+00   0.18923E+02   0.19050E+02   0.19115E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.24536E+01   0.80215E+02  -0.15823E+03  -0.80142E+02   0.35770E-02   0.43032E-04   0.10876E-02       0.16     286.93     0.0000  0.00   0.26692E-01  -0.85523E+00    19.0235    19.0539    19.0631    19.0735    19.1126
   2019      6      5   12.00      8136.00   0.19881E+02   0.00000E+00   0.19881E+02   0.20040E+02   0.20110E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.64826E+01   0.95049E+02  -0.18313E+03  -0.82184E+02   0.37497E-02   0.49721E-04   0.13271E-02       0.16     297.81     0.0000  0.00   0.26936E-01  -0.10182E+01    20.0099    20.0459    20.0563    20.0673    20.1057
   2019      6      6   12.00      8160.00   0.19811E+02   0.00000E+00   0.19811E+02   0.20147E+02   0.20288E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.17394E+02   0.13275E+03  -0.24371E+03  -0.88094E+02   0.53037E-02   0.78347E-04   0.50058E-02       0.16     290.58     0.0000  0.00   0.10291E+00  -0.10234E+00    20.0642    20.1348    20.2135    20.2328    20.2786
   2019      6      7   12.00      8184.00   0.18586E+02   0.00000E+00   0.18586E+02   0.19158E+02   0.19443E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.32125E+02   0.16071E+03  -0.29959E+03  -0.10491E+03   0.67557E-02   0.12114E-03   0.14772E-01       0.16     301.45     0.0000  0.00   0.16059E+00   0.15441E+01    19.0003    19.1133    19.2924    19.3722    19.4260
   2019      6      8   12.00      8208.00   0.17578E+02   0.00000E+00   0.17578E+02   0.18109E+02   0.18297E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.43777E+02   0.13724E+03  -0.29967E+03  -0.11591E+03   0.51272E-02   0.95870E-04   0.68494E-02       0.16     318.79     0.0000  0.00   0.17198E-01   0.20752E+01    18.0021    18.1047    18.1871    18.2209    18.2801
   2019      6      9   12.00      8232.00   0.15903E+02   0.00000E+00   0.15903E+02   0.16711E+02   0.17180E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.68575E+02   0.14876E+03  -0.33152E+03  -0.11751E+03   0.61347E-02   0.10693E-03   0.11433E-01       0.16     297.70     0.0000  0.00  -0.85374E-01   0.29789E+01    16.4439    16.5831    16.9736    17.1038    17.1651
   2019      6     10   12.00      8256.00   0.14658E+02   0.00000E+00   0.14658E+02   0.15162E+02   0.15561E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.63682E+02   0.11267E+03  -0.27252E+03  -0.10207E+03   0.48145E-02   0.85899E-04   0.43895E-02       0.16     239.38     0.0000  0.00  -0.30672E-02   0.22375E+01    14.9930    15.0804    15.3018    15.4909    15.5444
   2019      6     11   12.00      8280.00   0.13676E+02   0.00000E+00   0.13676E+02   0.14040E+02   0.14198E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.48390E+02   0.87486E+02  -0.21671E+03  -0.94400E+02   0.45737E-02   0.69629E-04   0.35822E-02       0.16     222.34     0.0000  0.00   0.47738E-01   0.16968E+01    13.9593    14.0348    14.0948    14.1393    14.1888
   2019      6     12   12.00      8304.00   0.14064E+02   0.00000E+00   0.14064E+02   0.14227E+02   0.14310E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.25771E+02   0.68886E+02  -0.17233E+03  -0.94201E+02   0.37953E-02   0.48660E-04   0.12330E-02       0.16     256.75     0.0000  0.00   0.46218E-01   0.73453E+00    14.1913    14.2325    14.2447    14.2579    14.3053
   2019      6     13   12.00      8328.00   0.15299E+02   0.00000E+00   0.15299E+02   0.15378E+02   0.15441E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.12683E+02   0.50435E+02  -0.13500E+03  -0.80621E+02   0.27477E-02   0.27987E-04   0.26919E-03       0.16     253.31     0.0000  0.00   0.27168E-01   0.29558E-01    15.3581    15.3798    15.3877    15.3974    15.4393
   2019      6     14   12.00      8352.00   0.16298E+02   0.00000E+00   0.16298E+02   0.16369E+02   0.16415E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.12226E+02   0.43771E+02  -0.11284E+03  -0.52508E+02   0.25151E-02   0.24185E-04   0.18202E-03       0.16     181.92     0.0000  0.00   0.21757E-01   0.71515E-01    16.3522    16.3713    16.3780    16.3851    16.4139
   2019      6     15   12.00      8376.00   0.16382E+02   0.00000E+00   0.16382E+02   0.16459E+02   0.16502E+02   0.00000E+00   0.00000E+00   0.50088E+00   0.14781E+02   0.43376E+02  -0.10437E+03  -0.44955E+02   0.28447E-02   0.27840E-04   0.29334E-03       0.16     150.65     0.0000  0.00   0.27926E-01   0.26461E+00    16.4405    16.4621    16.4692    16.4760    16.5014
