   2022      3     10   12.00      1632.00  -0.18569E+01   0.00000E+00  -0.66749E-08   0.10414E+01   0.27494E+01   0.00000E+00   0.98449E-05  -0.18568E+01  -0.20900E+02   0.18043E+02   0.28579E+01  -0.30690E+01   0.17597E-01   0.00000E+00   0.00000E+00       0.85      67.71     0.0000  0.00   0.19269-321  -0.51763-319     0.3741     1.1903     1.5366     1.8470     2.7494
   2022      3     11   12.00      1656.00  -0.47049E+01   0.00000E+00  -0.66300E-08   0.10327E+01   0.27420E+01   0.00000E+00   0.98389E-05  -0.47040E+01  -0.52483E+02   0.29251E+02   0.23231E+02  -0.30579E+01   0.18518E-01   0.00000E+00   0.00000E+00       0.85      70.36     0.0000  0.00   0.19269-321  -0.51763-319     0.3698     1.1781     1.5250     1.8400     2.7420
   2022      3     12   12.00      1680.00  -0.77257E+01   0.00000E+00  -0.65789E-08   0.10241E+01   0.27344E+01   0.00000E+00   0.98296E-05  -0.77246E+01  -0.79733E+02   0.32027E+02   0.47706E+02  -0.30489E+01   0.17148E-01   0.00000E+00   0.00000E+00       0.85      72.77     0.0000  0.00   0.19269-321  -0.51763-319     0.3655     1.1661     1.5136     1.8328     2.7344
   2022      3     13   12.00      1704.00  -0.95551E+01   0.00000E+00  -0.65013E-08   0.10156E+01   0.27268E+01   0.00000E+00   0.97520E-05  -0.95551E+01  -0.10018E+03   0.31817E+02   0.68367E+02  -0.30411E+01   0.15586E-01   0.00000E+00   0.00000E+00       0.85      73.14     0.0000  0.00   0.19269-321  -0.51763-319     0.3611     1.1542     1.5024     1.8257     2.7268
   2022      3     14   12.00      1728.00  -0.96009E+01   0.00000E+00  -0.64102E-08   0.10072E+01   0.27191E+01   0.00000E+00   0.37142E-06  -0.96009E+01  -0.11909E+03   0.37252E+02   0.81835E+02  -0.30331E+01   0.14614E-01   0.00000E+00   0.00000E+00       0.85      74.11     0.0000  0.00   0.19269-321  -0.51763-319     0.3568     1.1426     1.4913     1.8185     2.7191
   2022      3     15   12.00      1752.00  -0.90645E+01   0.00000E+00  -0.64188E-08   0.99924E+00   0.27121E+01   0.00000E+00  -0.32441E-04  -0.90645E+01  -0.13099E+03   0.40382E+02   0.90606E+02  -0.30204E+01   0.14136E-01   0.00000E+00   0.00000E+00       0.85      82.45     0.0000  0.00   0.19269-321  -0.51763-319     0.3530     1.1315     1.4805     1.8119     2.7121
   2022      3     16   12.00      1776.00  -0.13520E+02   0.00000E+00  -0.64815E-08   0.99163E+00   0.27052E+01   0.00000E+00  -0.50872E-04  -0.13519E+02  -0.84476E+02   0.21791E+02   0.62685E+02  -0.30096E+01   0.77112E-02   0.00000E+00   0.00000E+00       0.85      96.07     0.0000  0.00   0.19269-321  -0.51763-319     0.3495     1.1209     1.4701     1.8054     2.7052
   2022      3     17   12.00      1800.00  -0.81583E+01   0.00000E+00  -0.65821E-08   0.98428E+00   0.26986E+01   0.00000E+00  -0.11474E-02  -0.81583E+01  -0.11791E+03   0.52627E+02   0.65281E+02  -0.29985E+01   0.15684E-01   0.00000E+00   0.00000E+00       0.85     107.35     0.0000  0.00   0.19269-321  -0.51763-319     0.3462     1.1106     1.4599     1.7991     2.6986
   2022      3     18   12.00      1824.00  -0.85407E+01   0.00000E+00  -0.66937E-08   0.97709E+00   0.26919E+01   0.00000E+00  -0.45443E-03  -0.85407E+01  -0.58148E+02   0.26888E+02   0.31261E+02  -0.29896E+01   0.86219E-02   0.00000E+00   0.00000E+00       0.85     121.33     0.0000  0.00   0.19269-321  -0.51763-319     0.3430     1.1006     1.4498     1.7928     2.6919
   2022      3     19   12.00      1848.00  -0.70711E+01   0.00000E+00  -0.67587E-08   0.96988E+00   0.26849E+01   0.00000E+00  -0.70448E-04  -0.70709E+01  -0.85203E+02   0.53514E+02   0.31689E+02  -0.29824E+01   0.16165E-01   0.00000E+00   0.00000E+00       0.85     141.43     0.0000  0.00   0.19269-321  -0.51763-319     0.3396     1.0906     1.4399     1.7863     2.6849
   2022      3     20   12.00      1872.00  -0.80967E+01   0.00000E+00  -0.68027E-08   0.96273E+00   0.26779E+01   0.00000E+00  -0.48140E-04  -0.80967E+01  -0.89706E+02   0.44268E+02   0.45439E+02  -0.29750E+01   0.14217E-01   0.00000E+00   0.00000E+00       0.85     158.11     0.0000  0.00   0.19269-321  -0.51763-319     0.3362     1.0808     1.4302     1.7799     2.6779
   2022      3     21   12.00      1896.00  -0.90933E+01   0.00000E+00  -0.68740E-08   0.95582E+00   0.26711E+01   0.00000E+00  -0.11948E-02  -0.90933E+01  -0.99957E+02   0.36555E+02   0.63402E+02  -0.29657E+01   0.12299E-01   0.00000E+00   0.00000E+00       0.85     160.82     0.0000  0.00   0.19269-321  -0.51763-319     0.3330     1.0713     1.4206     1.7736     2.6711
   2022      3     22   12.00      1920.00  -0.13533E+02   0.00000E+00  -0.70447E-08   0.94936E+00   0.26648E+01   0.00000E+00  -0.34188E-02  -0.13533E+02  -0.66712E+02   0.14044E+02   0.52668E+02  -0.29535E+01   0.59305E-02   0.00000E+00   0.00000E+00       0.85     155.59     0.0000  0.00   0.19269-321  -0.51763-319     0.3302     1.0623     1.4114     1.7678     2.6648
   2022      3     23   12.00      1944.00  -0.15220E+02   0.00000E+00  -0.73883E-08   0.94356E+00   0.26594E+01   0.00000E+00  -0.53836E-02  -0.15220E+02  -0.49382E+02   0.98911E+01   0.39491E+02  -0.29384E+01   0.42845E-02   0.00000E+00   0.00000E+00       0.85     153.90     0.0000  0.00   0.19269-321  -0.51763-319     0.3282     1.0541     1.4027     1.7626     2.6594
   2022      3     24   12.00      1968.00  -0.93621E+01   0.00000E+00  -0.77720E-08   0.93794E+00   0.26539E+01   0.00000E+00  -0.34887E-02  -0.93621E+01  -0.75098E+02   0.18238E+02   0.56860E+02  -0.29283E+01   0.79057E-02   0.00000E+00   0.00000E+00       0.85     157.31     0.0000  0.00   0.19269-321  -0.51763-319     0.3262     1.0462     1.3942     1.7574     2.6539
   2022      3     25   12.00      1992.00  -0.12092E+02   0.00000E+00  -0.78573E-08   0.93149E+00   0.26467E+01   0.00000E+00  -0.93426E-03  -0.12092E+02  -0.22638E+02   0.29768E+01   0.19661E+02  -0.29294E+01   0.27967E-02   0.00000E+00   0.00000E+00       0.85     162.86     0.0000  0.00   0.19269-321  -0.51763-319     0.3230     1.0375     1.3854     1.7511     2.6467
   2022      3     26   12.00      2016.00  -0.90848E+01   0.00000E+00  -0.79194E-08   0.92513E+00   0.26398E+01   0.00000E+00  -0.83473E-03  -0.90848E+01  -0.17512E+02   0.98938E+00   0.16523E+02  -0.29238E+01   0.38959E-02   0.00000E+00   0.00000E+00       0.85     162.29     0.0000  0.00   0.19269-321  -0.51763-319     0.3199     1.0290     1.3767     1.7449     2.6398
   2022      3     27   12.00      2040.00  -0.50854E+01   0.00000E+00  -0.79179E-08   0.91871E+00   0.26326E+01   0.00000E+00  -0.43469E-04  -0.50854E+01  -0.27443E+02   0.33833E+01   0.24060E+02  -0.29195E+01   0.11452E-01   0.00000E+00   0.00000E+00       0.85     161.01     0.0000  0.00   0.19269-321  -0.51763-319     0.3167     1.0204     1.3680     1.7386     2.6326
   2022      3     28   12.00      2064.00  -0.39895E+01   0.00000E+00  -0.77844E-08   0.91201E+00   0.26248E+01   0.00000E+00  -0.25297E-04  -0.39895E+01  -0.24536E+02  -0.49444E+00   0.25030E+02  -0.29186E+01   0.11836E-01   0.00000E+00   0.00000E+00       0.85     155.73     0.0000  0.00   0.19269-321  -0.51763-319     0.3130     1.0115     1.3593     1.7319     2.6248
   2022      3     29   12.00      2088.00  -0.36191E+01   0.00000E+00  -0.75192E-08   0.90504E+00   0.26167E+01   0.00000E+00  -0.32138E-04  -0.36191E+01  -0.25496E+02   0.36159E+01   0.21880E+02  -0.29168E+01   0.11494E-01   0.00000E+00   0.00000E+00       0.85     148.23     0.0000  0.00   0.19269-321  -0.51763-319     0.3090     1.0024     1.3504     1.7250     2.6167
   2022      3     30   12.00      2112.00  -0.20992E+01   0.00000E+00  -0.72538E-08   0.89818E+00   0.26089E+01   0.00000E+00  -0.41456E-04  -0.20992E+01  -0.19374E+02   0.44677E+01   0.14906E+02  -0.29121E+01   0.10544E-01   0.00000E+00   0.00000E+00       0.85     138.17     0.0000  0.00   0.19269-321  -0.51763-319     0.3052     0.9934     1.3416     1.7182     2.6089
   2022      3     31   12.00      2136.00  -0.64042E+00   0.00000E+00  -0.69839E-08   0.89141E+00   0.26012E+01   0.00000E+00  -0.44721E-05  -0.64028E+00  -0.15481E+02  -0.10438E+01   0.16525E+02  -0.29069E+01   0.12866E-01   0.00000E+00   0.00000E+00       0.85     139.68     0.0000  0.00   0.19269-321  -0.51763-319     0.3014     0.9845     1.3329     1.7115     2.6012
   2022      4      1   12.00      2160.00  -0.25505E+01   0.00000E+00  -0.68455E-08   0.88515E+00   0.25943E+01   0.00000E+00   0.83659E-05  -0.25505E+01  -0.27108E+02   0.86179E+01   0.18490E+02  -0.28954E+01   0.12704E-01   0.00000E+00   0.00000E+00       0.85     163.88     0.0000  0.00   0.19269-321  -0.51763-319     0.2983     0.9761     1.3246     1.7055     2.5943
   2022      4      2   12.00      2184.00  -0.70164E+01   0.00000E+00  -0.66477E-08   0.87876E+00   0.25870E+01   0.00000E+00  -0.16017E-04  -0.70164E+01  -0.23825E+02   0.62219E+01   0.17603E+02  -0.28911E+01   0.59007E-02   0.00000E+00   0.00000E+00       0.85     189.30     0.0000  0.00   0.19269-321  -0.51763-319     0.2949     0.9676     1.3162     1.6992     2.5870
   2022      4      3   12.00      2208.00  -0.82593E+01   0.00000E+00  -0.65767E-08   0.87287E+00   0.25806E+01   0.00000E+00  -0.46583E-04  -0.82593E+01  -0.11012E+02   0.13036E+00   0.10882E+02  -0.28791E+01   0.38617E-02   0.00000E+00   0.00000E+00       0.85     188.55     0.0000  0.00   0.19269-321  -0.51763-319     0.2922     0.9597     1.3082     1.6935     2.5806
   2022      4      4   12.00      2232.00  -0.66218E+01   0.00000E+00  -0.65686E-08   0.86725E+00   0.25743E+01   0.00000E+00  -0.31387E-04  -0.66218E+01  -0.12829E+02   0.41564E+01   0.86723E+01  -0.28704E+01   0.91303E-02   0.00000E+00   0.00000E+00       0.85     180.77     0.0000  0.00   0.19269-321  -0.51763-319     0.2896     0.9520     1.3004     1.6880     2.5743
   2022      4      5   12.00      2256.00  -0.96983E+01   0.00000E+00  -0.64990E-08   0.86151E+00   0.25677E+01   0.00000E+00  -0.52255E-04  -0.96983E+01  -0.22081E+02   0.64066E+01   0.15674E+02  -0.28643E+01   0.10706E-01   0.00000E+00   0.00000E+00       0.85     194.39     0.0000  0.00   0.19269-321  -0.51763-319     0.2869     0.9444     1.2926     1.6822     2.5677
   2022      4      6   12.00      2280.00  -0.14149E+02   0.00000E+00  -0.65095E-08   0.85611E+00   0.25616E+01   0.00000E+00  -0.91998E-04  -0.14149E+02  -0.33366E+02   0.13965E+01   0.31970E+02  -0.28545E+01   0.10153E-01   0.00000E+00   0.00000E+00       0.85     212.01     0.0000  0.00   0.19269-321  -0.51763-319     0.2845     0.9371     1.2850     1.6768     2.5616
   2022      4      7   12.00      2304.00  -0.17890E+02   0.00000E+00  -0.66472E-08   0.85121E+00   0.25562E+01   0.00000E+00  -0.41125E-02  -0.17890E+02  -0.32717E+02  -0.76200E+00   0.33479E+02  -0.28410E+01   0.79832E-02   0.00000E+00   0.00000E+00       0.85     216.67     0.0000  0.00   0.19269-321  -0.51763-319     0.2826     0.9303     1.2779     1.6720     2.5562
   2022      4      8   12.00      2328.00  -0.19580E+02   0.00000E+00  -0.70503E-08   0.84719E+00   0.25519E+01   0.00000E+00  -0.54563E-02  -0.19580E+02  -0.16327E+02   0.13054E+01   0.15022E+02  -0.28241E+01   0.34296E-02   0.00000E+00   0.00000E+00       0.85     209.91     0.0000  0.00   0.19269-321  -0.51763-319     0.2816     0.9246     1.2714     1.6682     2.5519
   2022      4      9   12.00      2352.00  -0.10511E+02   0.00000E+00  -0.73016E-08   0.84270E+00   0.25464E+01   0.00000E+00  -0.11291E-02  -0.10509E+02  -0.17480E+02  -0.68009E+01   0.24281E+02  -0.28212E+01   0.92151E-02   0.00000E+00   0.00000E+00       0.85     205.08     0.0000  0.00   0.19269-321  -0.51763-319     0.2799     0.9185     1.2647     1.6634     2.5464
   2022      4     10   12.00      2376.00  -0.51830E+01   0.00000E+00  -0.72017E-08   0.83722E+00   0.25391E+01   0.00000E+00  -0.30460E-04  -0.51830E+01  -0.13974E+02  -0.75179E+01   0.21492E+02  -0.28271E+01   0.64733E-02   0.00000E+00   0.00000E+00       0.85     192.33     0.0000  0.00   0.19269-321  -0.51763-319     0.2770     0.9115     1.2574     1.6572     2.5391
   2022      4     11   12.00      2400.00  -0.31865E+01   0.00000E+00  -0.67758E-08   0.83088E+00   0.25304E+01   0.00000E+00  -0.12171E-04  -0.31865E+01  -0.23904E+02   0.98648E+00   0.22917E+02  -0.28344E+01   0.70791E-02   0.00000E+00   0.00000E+00       0.85     183.50     0.0000  0.00   0.19269-321  -0.51763-319     0.2731     0.9035     1.2496     1.6500     2.5304
   2022      4     12   12.00      2424.00  -0.15163E+01   0.00000E+00  -0.63193E-08   0.82454E+00   0.25221E+01   0.00000E+00  -0.61166E-05  -0.15162E+01  -0.22268E+02   0.20757E+01   0.20193E+02  -0.28335E+01   0.67768E-02   0.00000E+00   0.00000E+00       0.85     163.08     0.0000  0.00   0.19269-321  -0.51763-319     0.2693     0.8955     1.2417     1.6431     2.5221
   2022      4     13   12.00      2448.00   0.36778E+00   0.00000E+00  -0.61208E-08   0.81910E+00   0.25155E+01   0.00000E+00   0.98422E-05   0.36775E+00  -0.22062E+02   0.50129E+01   0.17049E+02  -0.28206E+01   0.83610E-02   0.00000E+00   0.00000E+00       0.85     143.96     0.0000  0.00   0.19269-321  -0.51763-319     0.2666     0.8883     1.2345     1.6375     2.5155
   2022      4     14   12.00      2472.00   0.11318E+01   0.00000E+00  -0.54907E-08   0.81215E+00   0.25058E+01   0.00000E+00   0.98055E-05   0.11318E+01  -0.25751E+02   0.54559E+01   0.20295E+02  -0.28394E+01   0.12005E-01   0.00000E+00   0.00000E+00       0.85     146.67     0.0000  0.00   0.19269-321  -0.51763-319     0.2621     0.8797     1.2262     1.6294     2.5058
   2022      4     15   12.00      2496.00   0.98816E+00   0.00000E+00  -0.34992E-08   0.79989E+00   0.24872E+01   0.00000E+00   0.97114E-05   0.98800E+00  -0.31979E+02   0.30175E+01   0.28961E+02  -0.28998E+01   0.13509E-01   0.00000E+00   0.00000E+00       0.85     175.19     0.0000  0.00   0.19269-321  -0.51763-319     0.2517     0.8655     1.2142     1.6145     2.4872
   2022      4     16   12.00      2520.00   0.38297E+00   0.00000E+00  -0.19646E-08   0.78839E+00   0.24719E+01   0.00000E+00   0.96375E-05   0.38287E+00  -0.33754E+02   0.10314E+01   0.32723E+02  -0.29059E+01   0.10637E-01   0.00000E+00   0.00000E+00       0.85     194.91     0.0000  0.00   0.19269-321  -0.51763-319     0.2428     0.8515     1.2023     1.6022     2.4719
   2022      4     17   12.00      2544.00   0.26499E+00   0.00000E+00  -0.10738E-08   0.77895E+00   0.24612E+01   0.00000E+00   0.10658E-04   0.26499E+00  -0.27072E+02  -0.10538E+01   0.28126E+02  -0.28879E+01   0.82294E-02   0.00000E+00   0.00000E+00       0.85     175.68     0.0000  0.00   0.19269-321  -0.51763-319     0.2365     0.8394     1.1917     1.5930     2.4612
   2022      4     18   12.00      2568.00   0.44651E-01   0.00000E+00  -0.45453E-09   0.77023E+00   0.24518E+01   0.00000E+00   0.12241E-04   0.44651E-01  -0.29976E+02   0.32766E+01   0.26700E+02  -0.28765E+01   0.87646E-02   0.00000E+00   0.00000E+00       0.85     170.11     0.0000  0.00   0.19269-321  -0.51763-319     0.2312     0.8280     1.1815     1.5846     2.4518
   2022      4     19   12.00      2592.00  -0.10420E+01   0.00000E+00  -0.20818E-09   0.76384E+00   0.24476E+01   0.00000E+00   0.18012E-04  -0.10418E+01  -0.39713E+02   0.95151E+01   0.30197E+02  -0.28475E+01   0.89857E-02   0.00000E+00   0.00000E+00       0.85     199.01     0.0000  0.00   0.19269-321  -0.51763-319     0.2285     0.8189     1.1729     1.5795     2.4476
   2022      4     20   12.00      2616.00  -0.23510E+01   0.00000E+00  -0.15237E-09   0.75916E+00   0.24469E+01   0.00000E+00   0.28205E-04  -0.23510E+01  -0.41160E+02   0.10565E+01   0.40104E+02  -0.28303E+01   0.72388E-02   0.00000E+00   0.00000E+00       0.85     238.77     0.0000  0.00   0.19269-321  -0.51763-319     0.2275     0.8116     1.1656     1.5766     2.4469
   2022      4     21   12.00      2640.00  -0.22298E+01   0.00000E+00  -0.10052E-09   0.75487E+00   0.24472E+01   0.00000E+00  -0.42737E-04  -0.22297E+01  -0.45856E+02  -0.11118E+01   0.46968E+02  -0.28259E+01   0.83107E-02   0.00000E+00   0.00000E+00       0.85     246.73     0.0000  0.00   0.19269-321  -0.51763-319     0.2268     0.8048     1.1587     1.5742     2.4472
   2022      4     22   12.00      2664.00  -0.81305E+00   0.00000E+00  -0.22067E-09   0.75309E+00   0.24539E+01   0.00000E+00   0.59638E-04  -0.81305E+00  -0.50969E+02   0.66710E+01   0.44298E+02  -0.28090E+01   0.98076E-02   0.00000E+00   0.00000E+00       0.85     230.56     0.0000  0.00   0.19269-321  -0.51763-319     0.2287     0.8004     1.1538     1.5759     2.4539
   2022      4     23   12.00      2688.00   0.12439E+00   0.00000E+00  -0.57440E-10   0.74960E+00   0.24625E+01   0.00000E+00   0.12546E-03   0.12434E+00  -0.37963E+02   0.31921E+01   0.34771E+02  -0.28832E+01   0.81543E-02   0.00000E+00   0.00000E+00       0.85     189.15     0.0000  0.00   0.19269-321  -0.51763-319     0.2288     0.7938     1.1476     1.5756     2.4625
   2022      4     24   12.00      2712.00  -0.48803E+00   0.00000E+00  -0.23587E-10   0.75124E+00   0.24979E+01   0.00000E+00   0.19853E-03  -0.48803E+00  -0.10655E+02   0.14289E+01   0.92260E+01  -0.29419E+01   0.32305E-02   0.00000E+00   0.00000E+00       0.85     132.57     0.0000  0.00   0.19269-321  -0.51763-319     0.2352     0.7903     1.1450     1.5889     2.4979
   2022      4     25   12.00      2736.00  -0.11627E+01   0.00000E+00  -0.15786E-09   0.75686E+00   0.25243E+01   0.00000E+00  -0.40071E-01  -0.11627E+01  -0.53478E+01   0.20904E+01   0.32574E+01  -0.28808E+01   0.27692E-02   0.00000E+00   0.00000E+00       0.85     114.52     0.0000  0.00   0.19269-321  -0.51763-319     0.2448     0.7916     1.1464     1.6062     2.5243
   2022      4     26   12.00      2760.00  -0.17286E+01   0.00000E+00  -0.33378E-09   0.76408E+00   0.25602E+01   0.00000E+00  -0.29972E+00  -0.17286E+01  -0.11127E+02  -0.24383E+01   0.13565E+02  -0.29071E+01   0.35487E-02   0.00000E+00   0.00000E+00       0.85     164.31     0.0000  0.00   0.19269-321  -0.51763-319     0.2554     0.7947     1.1494     1.6255     2.5602
   2022      4     27   12.00      2784.00  -0.96159E+00   0.00000E+00  -0.46361E-09   0.77614E+00   0.26197E+01   0.00000E+00  -0.74095E-02  -0.96159E+00  -0.21803E+02  -0.52171E+01   0.27020E+02  -0.29816E+01   0.48569E-02   0.00000E+00   0.00000E+00       0.85     225.04     0.0000  0.00   0.19269-321  -0.51763-319     0.2714     0.8011     1.1562     1.6560     2.6197
   2022      4     28   12.00      2808.00  -0.93309E+00   0.00000E+00  -0.38531E-09   0.79156E+00   0.26946E+01   0.00000E+00   0.44627E-03  -0.93309E+00  -0.17169E+02  -0.20131E+01   0.19182E+02  -0.30843E+01   0.33255E-02   0.00000E+00   0.00000E+00       0.85     221.15     0.0000  0.00   0.19269-321  -0.51763-319     0.2908     0.8095     1.1661     1.6950     2.6946
   2022      4     29   12.00      2832.00   0.12436E+01   0.00000E+00  -0.37689E-08   0.67973E+00   0.38060E+01   0.00000E+00   0.68077E+00   0.65153E+02  -0.51933E+02   0.31426E+02  -0.17146E+03  -0.20896E+02   0.11002E-01   0.12241E-14   0.20367E-01       0.51     190.01     0.0000  0.00   0.30078E+00   0.24721E+01     0.1241     0.5467     1.1164     2.1253     3.8060
   2022      4     30   12.00      2856.00   0.14378E+01   0.00000E+00   0.14168E+01   0.13301E+01   0.17984E+01   0.00000E+00   0.21048E-01   0.84257E+02  -0.47584E+02   0.11932E+02   0.11764E+02  -0.10310E+03   0.13249E-01   0.67734E-03   0.16698E+00       0.21     192.48     0.0000  0.00   0.21528E+01   0.10365E+02     1.3121     1.3026     1.3141     1.4944     1.7164
   2022      5      1   12.00      2880.00   0.30957E+01   0.00000E+00   0.30957E+01   0.30628E+01   0.31327E+01   0.00000E+00   0.00000E+00   0.84257E+02  -0.30108E+02   0.29623E+02  -0.41223E+02  -0.80459E+02   0.95378E-02   0.32940E-03   0.54188E-01       0.19     228.42     0.0000  0.00   0.11823E+01  -0.44056E+01     3.0670     3.0578     3.0589     3.0652     3.1156
   2022      5      2   12.00      2904.00   0.43750E+01   0.00000E+00   0.43750E+01   0.44204E+01   0.44986E+01   0.00000E+00   0.00000E+00   0.84257E+02  -0.18476E+01   0.34472E+02  -0.10064E+03  -0.89538E+02   0.69761E-02   0.15461E-03   0.15273E-01       0.19     264.49     0.0000  0.00   0.25670E+00  -0.14907E+02     4.4138     4.4203     4.4256     4.4348     4.4985
   2022      5      3   12.00      2928.00   0.50417E+01   0.00000E+00   0.50417E+01   0.52072E+01   0.52884E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.34371E+02   0.56341E+02  -0.18243E+03  -0.10079E+03   0.82678E-02   0.32404E-03   0.31659E-01       0.18     282.01     0.0000  0.00  -0.12339E+00  -0.23484E+02     5.1876     5.2151     5.2242     5.2346     5.2818
   2022      5      4   12.00      2952.00   0.50366E+01   0.00000E+00   0.50366E+01   0.52733E+01   0.53705E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.49944E+02   0.69059E+02  -0.22193E+03  -0.10947E+03   0.81083E-02   0.31079E-03   0.31025E-01       0.18     288.40     0.0000  0.00  -0.26394E+00  -0.22470E+02     5.2464     5.2852     5.2972     5.3096     5.3625
   2022      5      5   12.00      2976.00   0.52853E+01   0.00000E+00   0.52853E+01   0.54596E+01   0.55804E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.38925E+02   0.52084E+02  -0.18688E+03  -0.10798E+03   0.61739E-02   0.11849E-03   0.10358E-01       0.18     289.54     0.0000  0.00  -0.19183E+00  -0.13062E+02     5.4316     5.4688     5.4828     5.4969     5.5792
   2022      5      6   12.00      3000.00   0.58277E+01   0.00000E+00   0.58277E+01   0.59788E+01   0.60854E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.37896E+02   0.47453E+02  -0.15935E+03  -0.91944E+02   0.59707E-02   0.94014E-04   0.89670E-02       0.18     255.10     0.0000  0.00  -0.20505E+00  -0.11846E+02     5.9542     5.9870     5.9993     6.0105     6.0846
   2022      5      7   12.00      3024.00   0.60178E+01   0.00000E+00   0.60178E+01   0.61695E+01   0.62573E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.40743E+02   0.48472E+02  -0.13725E+03  -0.59995E+02   0.58531E-02   0.81589E-04   0.11885E-01       0.18     165.72     0.0000  0.00   0.31941E+00  -0.50315E+01     6.1410     6.1812     6.1918     6.1997     6.2557
   2022      5      8   12.00      3048.00   0.55446E+01   0.00000E+00   0.55446E+01   0.57016E+01   0.57653E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.41260E+02   0.42796E+02  -0.11442E+03  -0.39297E+02   0.70044E-02   0.17823E-03   0.26529E-01       0.18      95.77     0.0000  0.00   0.60235E-01   0.10968E+02     5.6767     5.7125     5.7222     5.7291     5.7624
   2022      5      9   12.00      3072.00   0.51597E+01   0.00000E+00   0.51597E+01   0.52774E+01   0.53310E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.38245E+02   0.41526E+02  -0.10858E+03  -0.48521E+02   0.89899E-02   0.33957E-03   0.44658E-01       0.18     115.59     0.0000  0.00  -0.89078E+00   0.13684E+01     5.2615     5.2842     5.2908     5.2970     5.3238
   2022      5     10   12.00      3096.00   0.52093E+01   0.00000E+00   0.52093E+01   0.53088E+01   0.53775E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.28588E+02   0.42224E+02  -0.10174E+03  -0.58794E+02   0.69630E-02   0.18593E-03   0.20574E-01       0.18     151.18     0.0000  0.00  -0.54906E-01  -0.14879E+02     5.2929     5.3140     5.3219     5.3302     5.3754
   2022      5     11   12.00      3120.00   0.54329E+01   0.00000E+00   0.54329E+01   0.55231E+01   0.55874E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.27760E+02   0.37036E+02  -0.96494E+02  -0.57640E+02   0.67720E-02   0.12847E-03   0.13676E-01       0.18     152.43     0.0000  0.00   0.27523E+00  -0.12507E+02     5.5087     5.5277     5.5349     5.5427     5.5869
   2022      5     12   12.00      3144.00   0.56614E+01   0.00000E+00   0.56614E+01   0.57662E+01   0.58157E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.34931E+02   0.38994E+02  -0.11395E+03  -0.64078E+02   0.90263E-02   0.42025E-03   0.46114E-01       0.18     170.67     0.0000  0.00  -0.30967E+00  -0.27441E+02     5.7549     5.7709     5.7764     5.7828     5.8099
   2022      5     13   12.00      3168.00   0.58035E+01   0.00000E+00   0.58035E+01   0.59689E+01   0.60351E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.40081E+02   0.60826E+02  -0.16408E+03  -0.91201E+02   0.94916E-02   0.49367E-03   0.54640E-01       0.18     237.82     0.0000  0.00  -0.35393E+00  -0.30126E+02     5.9525     5.9765     5.9840     5.9928     6.0276
   2022      5     14   12.00      3192.00   0.61243E+01   0.00000E+00   0.61243E+01   0.63071E+01   0.63936E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.37842E+02   0.69799E+02  -0.18328E+03  -0.10363E+03   0.75290E-02   0.24786E-03   0.22468E-01       0.17     273.45     0.0000  0.00   0.40129E-01  -0.19609E+02     6.2859     6.3155     6.3260     6.3374     6.3894
   2022      5     15   12.00      3216.00   0.65361E+01   0.00000E+00   0.65361E+01   0.66834E+01   0.67797E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.34548E+02   0.55194E+02  -0.15752E+03  -0.90919E+02   0.66935E-02   0.12164E-03   0.11927E-01       0.17     246.10     0.0000  0.00   0.39093E+00  -0.10930E+02     6.6611     6.6911     6.7021     6.7127     6.7786
   2022      5     16   12.00      3240.00   0.69526E+01   0.00000E+00   0.69526E+01   0.70943E+01   0.71781E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.35321E+02   0.49892E+02  -0.15120E+03  -0.86963E+02   0.67883E-02   0.15488E-03   0.15020E-01       0.17     238.15     0.0000  0.00   0.14312E+00  -0.14146E+02     7.0744     7.1015     7.1114     7.1202     7.1761
   2022      5     17   12.00      3264.00   0.72310E+01   0.00000E+00   0.72310E+01   0.73908E+01   0.74625E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.41381E+02   0.67507E+02  -0.19036E+03  -0.10421E+03   0.84337E-02   0.34840E-03   0.33269E-01       0.17     279.25     0.0000  0.00  -0.28860E+00  -0.23862E+02     7.3716     7.3983     7.4076     7.4184     7.4538
   2022      5     18   12.00      3288.00   0.78070E+01   0.00000E+00   0.78070E+01   0.79554E+01   0.80435E+01   0.00000E+00   0.00000E+00   0.84257E+02   0.27267E+02   0.61102E+02  -0.17871E+03  -0.11704E+03   0.63477E-02   0.12654E-03   0.12206E-01       0.17     324.04     0.0000  0.00  -0.25337E+00  -0.13341E+02     7.9346     7.9628     7.9730     7.9830     8.0399
