#,Date-Time (AKDT),WaterTemp_degC,Host Connected,Button Down,Button Up,Stopped,End of File
340,07-04-2024 17:10:34,12.82,,,,,
341,07-04-2024 17:15:34,12.87,,,,,
342,07-04-2024 17:20:34,12.91,,,,,
343,07-04-2024 17:25:34,12.87,,,,,
344,07-04-2024 17:30:34,12.87,,,,,
345,07-04-2024 17:35:34,12.95,,,,,
346,07-04-2024 17:40:34,13.00,,,,,
347,07-04-2024 17:45:34,12.95,,,,,
348,07-04-2024 17:50:34,12.95,,,,,
349,07-04-2024 17:55:34,12.95,,,,,
350,07-04-2024 18:00:34,13.00,,,,,
351,07-04-2024 18:05:34,12.95,,,,,
352,07-04-2024 18:10:34,12.91,,,,,
353,07-04-2024 18:15:34,13.00,,,,,
354,07-04-2024 18:20:34,13.00,,,,,
355,07-04-2024 18:25:34,13.00,,,,,
356,07-04-2024 18:30:34,13.04,,,,,
357,07-04-2024 18:35:34,13.04,,,,,
358,07-04-2024 18:40:34,13.04,,,,,
359,07-04-2024 18:45:34,13.00,,,,,
360,07-04-2024 18:50:34,13.04,,,,,
361,07-04-2024 18:55:34,13.04,,,,,
362,07-04-2024 19:00:34,13.04,,,,,
363,07-04-2024 19:05:34,13.04,,,,,
364,07-04-2024 19:10:34,13.08,,,,,
365,07-04-2024 19:15:34,13.04,,,,,
366,07-04-2024 19:20:34,13.12,,,,,
367,07-04-2024 19:25:34,13.12,,,,,
368,07-04-2024 19:30:34,13.08,,,,,
369,07-04-2024 19:35:34,13.08,,,,,
370,07-04-2024 19:40:34,13.08,,,,,
371,07-04-2024 19:45:34,13.12,,,,,
372,07-04-2024 19:50:34,13.12,,,,,
373,07-04-2024 19:55:34,13.08,,,,,
374,07-04-2024 20:00:34,13.12,,,,,
375,07-04-2024 20:05:34,13.12,,,,,
376,07-04-2024 20:10:34,13.12,,,,,
377,07-04-2024 20:15:34,13.12,,,,,
378,07-04-2024 20:20:34,13.12,,,,,
379,07-04-2024 20:25:34,13.12,,,,,
380,07-04-2024 20:30:34,13.12,,,,,
381,07-04-2024 20:35:34,13.12,,,,,
382,07-04-2024 20:40:34,13.12,,,,,
383,07-04-2024 20:45:34,13.12,,,,,
384,07-04-2024 20:50:34,13.08,,,,,
385,07-04-2024 20:55:34,13.12,,,,,
386,07-04-2024 21:00:34,13.12,,,,,
387,07-04-2024 21:05:34,13.08,,,,,
